f_avg,delta1,log10_nmse
0.0000,-8.0000,-0.006080
0.2092,-8.0000,-1.705145
0.4184,-8.0000,-1.705142
0.6276,-8.0000,-1.705143
1.0460,-8.0000,-1.705141
1.4644,-8.0000,-1.705141
1.6736,-8.0000,-1.705141
0.8368,-8.0000,-1.705142
2.3013,-8.0000,-1.705141
2.9289,-8.0000,-1.705142
2.0921,-8.0000,-1.705142
1.2552,-8.0000,-1.705142
2.7197,-8.0000,-1.705141
1.8828,-8.0000,-1.705143
36.4017,-8.0000,-1.705141
19.4561,-8.0000,-1.705142
2.5105,-8.0000,-1.705141
30.1255,-8.0000,-1.705141
3.5565,-8.0000,-1.705142
6.9038,-8.0000,-1.705141
32.2176,-8.0000,-1.705141
5.8577,-8.0000,-1.705141
32.6360,-8.0000,-1.705141
21.7573,-8.0000,-1.705142
6.4854,-8.0000,-1.705141
5.0209,-8.0000,-1.705142
3.1381,-8.0000,-1.705142
17.7824,-8.0000,-1.705142
19.0377,-8.0000,-1.705142
10.4603,-8.0000,-1.705141
6.0669,-8.0000,-1.705141
32.0084,-8.0000,-1.705141
29.4979,-8.0000,-1.705142
10.2510,-8.0000,-1.705141
11.5063,-8.0000,-1.705141
35.7741,-8.0000,-1.705141
11.7155,-8.0000,-1.705141
18.6192,-8.0000,-1.705142
23.8494,-8.0000,-1.705142
30.9623,-8.0000,-1.705141
15.8996,-8.0000,-1.705141
19.8745,-8.0000,-1.705142
23.6402,-8.0000,-1.705142
25.9414,-8.0000,-1.705141
16.9456,-8.0000,-1.705141
29.7071,-8.0000,-1.705142
12.1339,-8.0000,-1.705141
13.8075,-8.0000,-1.705141
34.7280,-8.0000,-1.705141
25.1046,-8.0000,-1.705142
3.9749,-8.0000,-1.705141
11.2971,-8.0000,-1.705141
10.8787,-8.0000,-1.705141
9.8326,-8.0000,-1.705141
5.2301,-8.0000,-1.705141
31.5900,-8.0000,-1.705141
9.4142,-8.0000,-1.705141
22.1757,-8.0000,-1.705142
35.1464,-8.0000,-1.705141
7.3222,-8.0000,-1.705141
35.5649,-8.0000,-1.705141
36.1925,-8.0000,-1.705141
7.7406,-8.0000,-1.705141
3.3473,-8.0000,-1.705142
5.4393,-8.0000,-1.705141
4.6025,-8.0000,-1.705142
5.6485,-8.0000,-1.705142
12.5523,-8.0000,-1.705141
4.8117,-8.0000,-1.705141
30.7531,-8.0000,-1.705141
29.2887,-8.0000,-1.705142
15.0628,-8.0000,-1.705141
27.8243,-8.0000,-1.705141
12.9707,-8.0000,-1.705142
24.4770,-8.0000,-1.705142
4.3933,-8.0000,-1.705141
14.6444,-8.0000,-1.705141
24.8954,-8.0000,-1.705142
11.0879,-8.0000,-1.705141
18.4100,-8.0000,-1.705142
17.3640,-8.0000,-1.705141
21.1297,-8.0000,-1.705142
8.5774,-8.0000,-1.705141
25.7322,-8.0000,-1.705142
33.4728,-8.0000,-1.705141
7.1130,-8.0000,-1.705141
28.6611,-8.0000,-1.705141
34.9372,-8.0000,-1.705141
31.1715,-8.0000,-1.705141
7.5314,-8.0000,-1.705142
31.3808,-8.0000,-1.705141
27.6151,-8.0000,-1.705141
4.1841,-8.0000,-1.705141
3.7657,-8.0000,-1.705141
34.5188,-8.0000,-1.705141
21.5481,-8.0000,-1.705142
36.6109,-8.0000,-1.705141
14.8536,-8.0000,-1.705141
34.1004,-8.0000,-1.705141
22.8033,-8.0000,-1.705142
20.0837,-8.0000,-1.705142
9.2050,-8.0000,-1.705142
9.6234,-8.0000,-1.705141
17.9916,-8.0000,-1.705142
6.2762,-8.0000,-1.705142
22.3849,-8.0000,-1.705142
29.0795,-8.0000,-1.705142
10.0418,-8.0000,-1.705141
27.4059,-8.0000,-1.705141
13.3891,-8.0000,-1.705142
6.6946,-8.0000,-1.705141
32.4268,-8.0000,-1.705141
28.8703,-8.0000,-1.705141
17.1548,-8.0000,-1.705141
12.3431,-8.0000,-1.705141
21.9665,-8.0000,-1.705142
13.1799,-8.0000,-1.705142
26.1506,-8.0000,-1.705141
29.9163,-8.0000,-1.705142
26.3598,-8.0000,-1.705141
14.2259,-8.0000,-1.705141
33.6820,-8.0000,-1.705141
21.3389,-8.0000,-1.705142
16.3180,-8.0000,-1.705141
17.5732,-8.0000,-1.705142
28.0335,-8.0000,-1.705141
18.2008,-8.0000,-1.705142
20.9205,-8.0000,-1.705142
30.5439,-8.0000,-1.705141
33.0544,-8.0000,-1.705141
16.1088,-8.0000,-1.705141
23.4310,-8.0000,-1.705142
14.4351,-8.0000,-1.705141
8.3682,-8.0000,-1.705141
8.1590,-8.0000,-1.705142
12.7615,-8.0000,-1.705141
28.4519,-8.0000,-1.705141
8.7866,-8.0000,-1.705141
15.6904,-8.0000,-1.705141
23.2218,-8.0000,-1.705142
33.8912,-8.0000,-1.705141
18.8285,-8.0000,-1.705142
24.0586,-8.0000,-1.705142
25.5230,-8.0000,-1.705142
35.9833,-8.0000,-1.705141
20.2929,-8.0000,-1.705142
19.2469,-8.0000,-1.705142
31.7992,-8.0000,-1.705141
26.7782,-8.0000,-1.705141
25.3138,-8.0000,-1.705142
24.6862,-8.0000,-1.705142
35.3556,-8.0000,-1.705141
14.0167,-8.0000,-1.705141
20.7113,-8.0000,-1.705142
11.9247,-8.0000,-1.705141
26.9874,-8.0000,-1.705141
28.2427,-8.0000,-1.705141
24.2678,-8.0000,-1.705142
23.0126,-8.0000,-1.705142
33.2636,-8.0000,-1.705141
15.2720,-8.0000,-1.705141
8.9958,-8.0000,-1.705141
30.3347,-8.0000,-1.705141
20.5021,-8.0000,-1.705142
26.5690,-8.0000,-1.705141
10.6695,-8.0000,-1.705141
7.9498,-8.0000,-1.705141
27.1967,-8.0000,-1.705141
32.8452,-8.0000,-1.705141
34.3096,-8.0000,-1.705141
16.5272,-8.0000,-1.705141
13.5983,-8.0000,-1.705141
15.4812,-8.0000,-1.705141
19.6653,-8.0000,-1.705142
16.7364,-8.0000,-1.705141
22.5941,-8.0000,-1.705142
0.0000,-7.7895,0.000124
0.2092,-7.7895,-1.704963
37.2385,-8.0000,-2.848731
37.0293,-8.0000,-2.849404
0.4184,-7.7895,-1.704962
37.8661,-8.0000,-2.839920
0.8368,-7.7895,-1.704963
38.7029,-8.0000,-2.860684
0.6276,-7.7895,-1.704962
1.0460,-7.7895,-1.704964
38.4937,-8.0000,-2.858243
1.4644,-7.7895,-1.704962
37.6569,-8.0000,-2.844478
39.3305,-8.0000,-2.861413
39.7490,-8.0000,-2.867625
37.4477,-8.0000,-2.847166
39.5397,-8.0000,-2.861507
2.5105,-7.7895,-1.704962
6.2762,-7.7895,-1.704961
6.0669,-7.7895,-1.704961
7.1130,-7.7895,-1.704961
39.1213,-8.0000,-2.862588
9.8326,-7.7895,-1.704962
16.5272,-7.7895,-1.704961
1.2552,-7.7895,-1.704962
11.9247,-7.7895,-1.704962
39.9582,-8.0000,-2.872257
25.7322,-7.7895,-1.704962
7.5314,-7.7895,-1.704961
38.2845,-8.0000,-2.854563
5.4393,-7.7895,-1.704962
25.9414,-7.7895,-1.704962
16.1088,-7.7895,-1.704962
9.6234,-7.7895,-1.704961
2.0921,-7.7895,-1.704962
13.3891,-7.7895,-1.704961
14.4351,-7.7895,-1.704961
3.1381,-7.7895,-1.704961
7.9498,-7.7895,-1.704962
12.3431,-7.7895,-1.704962
4.3933,-7.7895,-1.704962
2.3013,-7.7895,-1.704962
21.1297,-7.7895,-1.704961
38.9121,-8.0000,-2.862573
20.2929,-7.7895,-1.704962
3.3473,-7.7895,-1.704961
3.5565,-7.7895,-1.704962
3.7657,-7.7895,-1.704962
25.1046,-7.7895,-1.704962
36.8201,-8.0000,-2.850049
4.6025,-7.7895,-1.704962
17.7824,-7.7895,-1.704961
5.6485,-7.7895,-1.704961
6.9038,-7.7895,-1.704962
21.7573,-7.7895,-1.704961
4.1841,-7.7895,-1.704961
8.9958,-7.7895,-1.704961
19.2469,-7.7895,-1.704962
20.0837,-7.7895,-1.704962
15.6904,-7.7895,-1.704962
12.1339,-7.7895,-1.704962
6.6946,-7.7895,-1.704962
20.5021,-7.7895,-1.704961
12.5523,-7.7895,-1.704961
22.5941,-7.7895,-1.704961
14.0167,-7.7895,-1.704961
7.3222,-7.7895,-1.704962
1.8828,-7.7895,-1.704962
5.8577,-7.7895,-1.704961
18.8285,-7.7895,-1.704962
16.3180,-7.7895,-1.704961
17.3640,-7.7895,-1.704961
10.0418,-7.7895,-1.704962
38.0753,-8.0000,-2.849808
10.4603,-7.7895,-1.704962
9.4142,-7.7895,-1.704961
12.7615,-7.7895,-1.704961
5.2301,-7.7895,-1.704962
11.0879,-7.7895,-1.704962
19.6653,-7.7895,-1.704962
11.2971,-7.7895,-1.704962
13.5983,-7.7895,-1.704961
18.4100,-7.7895,-1.704962
1.6736,-7.7895,-1.704962
2.9289,-7.7895,-1.704961
9.2050,-7.7895,-1.704961
22.8033,-7.7895,-1.704961
15.0628,-7.7895,-1.704961
8.7866,-7.7895,-1.704962
20.9205,-7.7895,-1.704961
8.5774,-7.7895,-1.704962
21.3389,-7.7895,-1.704961
26.1506,-7.7895,-1.704962
18.2008,-7.7895,-1.704962
17.1548,-7.7895,-1.704961
15.4812,-7.7895,-1.704962
6.4854,-7.7895,-1.704962
7.7406,-7.7895,-1.704962
10.8787,-7.7895,-1.704962
16.7364,-7.7895,-1.704961
8.3682,-7.7895,-1.704962
19.8745,-7.7895,-1.704962
17.5732,-7.7895,-1.704961
2.7197,-7.7895,-1.704962
22.1757,-7.7895,-1.704962
21.5481,-7.7895,-1.704961
23.8494,-7.7895,-1.704961
24.2678,-7.7895,-1.704961
11.7155,-7.7895,-1.704962
26.3598,-7.7895,-1.704962
20.7113,-7.7895,-1.704961
23.0126,-7.7895,-1.704961
19.0377,-7.7895,-1.704962
18.6192,-7.7895,-1.704962
19.4561,-7.7895,-1.704962
3.9749,-7.7895,-1.704961
26.5690,-7.7895,-1.704962
22.3849,-7.7895,-1.704961
13.1799,-7.7895,-1.704961
11.5063,-7.7895,-1.704962
24.6862,-7.7895,-1.704961
15.2720,-7.7895,-1.704961
5.0209,-7.7895,-1.704962
14.8536,-7.7895,-1.704961
15.8996,-7.7895,-1.704962
25.5230,-7.7895,-1.704962
17.9916,-7.7895,-1.704961
16.9456,-7.7895,-1.704961
10.2510,-7.7895,-1.704961
12.9707,-7.7895,-1.704961
14.6444,-7.7895,-1.704961
4.8117,-7.7895,-1.704961
25.3138,-7.7895,-1.704962
14.2259,-7.7895,-1.704961
24.0586,-7.7895,-1.704961
23.6402,-7.7895,-1.704961
23.2218,-7.7895,-1.704961
13.8075,-7.7895,-1.704961
23.4310,-7.7895,-1.704961
10.6695,-7.7895,-1.704961
24.4770,-7.7895,-1.704961
24.8954,-7.7895,-1.704962
26.7782,-7.7895,-1.704962
8.1590,-7.7895,-1.704962
21.9665,-7.7895,-1.704961
40.1674,-8.0000,-2.876275
0.0000,-7.5789,0.000139
40.3766,-8.0000,-2.876552
26.9874,-7.7895,-1.704962
40.5858,-8.0000,-2.874778
27.1967,-7.7895,-1.704962
41.4226,-8.0000,-2.864199
28.6611,-7.7895,-1.704962
27.6151,-7.7895,-1.704962
41.0042,-8.0000,-2.869073
28.2427,-7.7895,-1.704962
43.7238,-8.0000,-2.926171
28.0335,-7.7895,-1.704962
41.6318,-8.0000,-2.875830
27.8243,-7.7895,-1.704962
42.8870,-8.0000,-2.936286
29.7071,-7.7895,-1.704962
29.0795,-7.7895,-1.704962
43.9331,-8.0000,-2.931298
29.2887,-7.7895,-1.704962
0.2092,-7.5789,-1.704737
46.4435,-8.0000,-3.031073
40.7950,-8.0000,-2.872407
41.8410,-8.0000,-2.892092
46.2343,-8.0000,-3.020494
28.4519,-7.7895,-1.704962
46.0251,-8.0000,-3.008838
29.9163,-7.7895,-1.704962
41.2134,-8.0000,-2.863165
45.8159,-8.0000,-2.990771
43.0962,-8.0000,-2.932563
42.0502,-8.0000,-2.906946
27.4059,-7.7895,-1.704962
48.3264,-8.0000,-2.985623
45.6067,-8.0000,-2.974436
42.2594,-8.0000,-2.920223
43.5146,-8.0000,-2.922112
29.4979,-7.7895,-1.704962
47.2803,-8.0000,-3.054586
46.8619,-8.0000,-3.049185
0.4184,-7.5789,-1.704728
30.5439,-7.7895,-1.704962
43.3054,-8.0000,-2.927994
42.6778,-8.0000,-2.939575
28.8703,-7.7895,-1.704962
47.6987,-8.0000,-3.040875
0.6276,-7.5789,-1.704725
47.0711,-8.0000,-3.055358
47.4895,-8.0000,-3.049740
30.7531,-7.7895,-1.704962
30.1255,-7.7895,-1.704962
30.9623,-7.7895,-1.704962
42.4686,-8.0000,-2.931902
49.3724,-8.0000,-3.031551
1.0460,-7.5789,-1.704723
31.7992,-7.7895,-1.704961
44.7699,-8.0000,-2.942024
49.1632,-8.0000,-3.013194
48.1172,-8.0000,-3.010812
47.9079,-8.0000,-3.028490
0.8368,-7.5789,-1.704723
30.3347,-7.7895,-1.704962
32.6360,-7.7895,-1.704961
32.8452,-7.7895,-1.704961
33.0544,-7.7895,-1.704961
32.4268,-7.7895,-1.704961
44.1423,-8.0000,-2.932366
33.2636,-7.7895,-1.704961
48.9540,-8.0000,-2.991874
49.5816,-8.0000,-3.043437
34.1004,-7.7895,-1.704961
31.3808,-7.7895,-1.704962
50.0000,-8.0000,-3.061164
48.5356,-8.0000,-2.963271
1.2552,-7.5789,-1.704723
31.5900,-7.7895,-1.704962
32.2176,-7.7895,-1.704961
33.4728,-7.7895,-1.704961
1.4644,-7.5789,-1.704723
32.0084,-7.7895,-1.704961
31.1715,-7.7895,-1.704962
3.5565,-7.5789,-1.704723
1.6736,-7.5789,-1.704723
46.6527,-8.0000,-3.040926
2.3013,-7.5789,-1.704723
34.3096,-7.7895,-1.704961
48.7448,-8.0000,-2.968464
34.9372,-7.7895,-1.704961
45.3975,-8.0000,-2.952745
2.7197,-7.5789,-1.704723
2.0921,-7.5789,-1.704723
2.9289,-7.5789,-1.704722
34.7280,-7.7895,-1.704961
4.3933,-7.5789,-1.704722
35.1464,-7.7895,-1.704961
3.7657,-7.5789,-1.704723
34.5188,-7.7895,-1.704961
49.7908,-8.0000,-3.053775
35.3556,-7.7895,-1.704961
44.9791,-8.0000,-2.939742
4.6025,-7.5789,-1.704723
3.1381,-7.5789,-1.704723
1.8828,-7.5789,-1.704723
3.3473,-7.5789,-1.704722
6.2762,-7.5789,-1.704722
33.8912,-7.7895,-1.704961
33.6820,-7.7895,-1.704961
5.0209,-7.5789,-1.704722
5.2301,-7.5789,-1.704722
6.0669,-7.5789,-1.704722
5.4393,-7.5789,-1.704723
44.3515,-8.0000,-2.937818
5.8577,-7.5789,-1.704722
6.4854,-7.5789,-1.704722
2.5105,-7.5789,-1.704723
3.9749,-7.5789,-1.704722
45.1883,-8.0000,-2.939874
4.1841,-7.5789,-1.704723
5.6485,-7.5789,-1.704722
4.8117,-7.5789,-1.704722
44.5607,-8.0000,-2.941207
6.9038,-7.5789,-1.704722
6.6946,-7.5789,-1.704722
7.1130,-7.5789,-1.704722
7.3222,-7.5789,-1.704722
7.5314,-7.5789,-1.704722
7.7406,-7.5789,-1.704722
7.9498,-7.5789,-1.704722
8.3682,-7.5789,-1.704722
8.1590,-7.5789,-1.704722
8.5774,-7.5789,-1.704722
9.2050,-7.5789,-1.704722
10.0418,-7.5789,-1.704722
9.6234,-7.5789,-1.704722
8.9958,-7.5789,-1.704722
9.4142,-7.5789,-1.704722
8.7866,-7.5789,-1.704722
10.2510,-7.5789,-1.704722
9.8326,-7.5789,-1.704722
11.2971,-7.5789,-1.704722
10.8787,-7.5789,-1.704722
10.6695,-7.5789,-1.704722
11.7155,-7.5789,-1.704722
10.4603,-7.5789,-1.704722
11.5063,-7.5789,-1.704722
11.0879,-7.5789,-1.704722
13.8075,-7.5789,-1.704722
13.1799,-7.5789,-1.704722
12.3431,-7.5789,-1.704722
12.1339,-7.5789,-1.704722
13.3891,-7.5789,-1.704722
15.0628,-7.5789,-1.704722
11.9247,-7.5789,-1.704722
13.5983,-7.5789,-1.704722
12.9707,-7.5789,-1.704722
12.5523,-7.5789,-1.704722
14.2259,-7.5789,-1.704722
14.4351,-7.5789,-1.704723
14.0167,-7.5789,-1.704722
14.8536,-7.5789,-1.704722
14.6444,-7.5789,-1.704723
12.7615,-7.5789,-1.704722
17.3640,-7.5789,-1.704722
20.5021,-7.5789,-1.704722
16.5272,-7.5789,-1.704722
16.1088,-7.5789,-1.704722
15.8996,-7.5789,-1.704721
15.4812,-7.5789,-1.704721
15.2720,-7.5789,-1.704721
16.7364,-7.5789,-1.704722
15.6904,-7.5789,-1.704721
24.2678,-7.5789,-1.704723
16.9456,-7.5789,-1.704722
17.7824,-7.5789,-1.704722
17.5732,-7.5789,-1.704722
20.0837,-7.5789,-1.704722
21.7573,-7.5789,-1.704722
18.4100,-7.5789,-1.704722
18.6192,-7.5789,-1.704722
20.2929,-7.5789,-1.704722
18.2008,-7.5789,-1.704722
17.1548,-7.5789,-1.704722
19.8745,-7.5789,-1.704722
36.4017,-7.7895,-2.850611
24.0586,-7.5789,-1.704723
18.8285,-7.5789,-1.704722
35.5649,-7.7895,-2.849782
21.5481,-7.5789,-1.704722
36.6109,-7.7895,-2.853034
24.4770,-7.5789,-1.704723
35.7741,-7.7895,-2.852335
21.1297,-7.5789,-1.704722
24.6862,-7.5789,-1.704723
20.7113,-7.5789,-1.704722
16.3180,-7.5789,-1.704722
19.6653,-7.5789,-1.704722
19.4561,-7.5789,-1.704722
27.4059,-7.5789,-1.704722
25.5230,-7.5789,-1.704722
22.8033,-7.5789,-1.704722
22.3849,-7.5789,-1.704722
26.7782,-7.5789,-1.704722
23.2218,-7.5789,-1.704722
21.3389,-7.5789,-1.704722
24.8954,-7.5789,-1.704722
19.0377,-7.5789,-1.704722
23.8494,-7.5789,-1.704723
17.9916,-7.5789,-1.704722
21.9665,-7.5789,-1.704722
20.9205,-7.5789,-1.704722
28.4519,-7.5789,-1.704721
37.0293,-7.7895,-2.859771
22.5941,-7.5789,-1.704722
36.1925,-7.7895,-2.852454
23.0126,-7.5789,-1.704722
36.8201,-7.7895,-2.854820
25.1046,-7.5789,-1.704722
39.7490,-7.7895,-2.857378
28.2427,-7.5789,-1.704722
30.3347,-7.5789,-1.704722
26.3598,-7.5789,-1.704722
27.6151,-7.5789,-1.704722
37.6569,-7.7895,-2.861893
19.2469,-7.5789,-1.704722
22.1757,-7.5789,-1.704722
26.5690,-7.5789,-1.704722
26.9874,-7.5789,-1.704722
37.2385,-7.7895,-2.862689
29.0795,-7.5789,-1.704722
29.7071,-7.5789,-1.704722
25.9414,-7.5789,-1.704722
23.6402,-7.5789,-1.704722
23.4310,-7.5789,-1.704722
28.0335,-7.5789,-1.704722
25.7322,-7.5789,-1.704722
26.1506,-7.5789,-1.704722
35.9833,-7.7895,-2.853397
39.9582,-7.7895,-2.863687
31.5900,-7.5789,-1.704723
32.0084,-7.5789,-1.704723
30.7531,-7.5789,-1.704723
28.6611,-7.5789,-1.704721
25.3138,-7.5789,-1.704722
29.4979,-7.5789,-1.704722
29.9163,-7.5789,-1.704722
28.8703,-7.5789,-1.704722
27.8243,-7.5789,-1.704722
37.8661,-7.7895,-2.857311
37.4477,-7.7895,-2.863387
27.1967,-7.5789,-1.704722
30.1255,-7.5789,-1.704722
38.2845,-7.7895,-2.851149
30.5439,-7.5789,-1.704723
38.4937,-7.7895,-2.846237
38.0753,-7.7895,-2.853973
40.5858,-7.7895,-2.878141
31.1715,-7.5789,-1.704723
32.2176,-7.5789,-1.704723
29.2887,-7.5789,-1.704722
31.3808,-7.5789,-1.704723
31.7992,-7.5789,-1.704723
39.3305,-7.7895,-2.850233
47.9079,-7.7895,-2.990970
39.1213,-7.7895,-2.849483
47.6987,-7.7895,-3.012066
30.9623,-7.5789,-1.704723
32.4268,-7.5789,-1.704723
38.7029,-7.7895,-2.844597
38.9121,-7.7895,-2.847715
49.7908,-7.7895,-3.073904
48.5356,-7.7895,-2.989867
43.7238,-7.7895,-3.022536
48.1172,-7.7895,-2.970873
42.2594,-7.7895,-2.947048
41.8410,-7.7895,-2.927428
39.5397,-7.7895,-2.849885
40.7950,-7.7895,-2.882692
50.0000,-7.7895,-3.075127
49.5816,-7.7895,-3.063692
49.3724,-7.7895,-3.050531
42.8870,-7.7895,-2.995162
42.0502,-7.7895,-2.939922
41.6318,-7.7895,-2.914822
45.3975,-7.7895,-2.960149
40.3766,-7.7895,-2.871234
41.0042,-7.7895,-2.886505
48.9540,-7.7895,-3.012410
46.2343,-7.7895,-3.021857
48.7448,-7.7895,-2.985288
47.4895,-7.7895,-3.024156
40.1674,-7.7895,-2.868298
46.8619,-7.7895,-3.042470
45.6067,-7.7895,-2.981740
49.1632,-7.7895,-3.033942
48.3264,-7.7895,-3.001073
43.5146,-7.7895,-3.019534
41.2134,-7.7895,-2.892476
0.0000,-7.3684,0.000137
45.1883,-7.7895,-2.956030
45.8159,-7.7895,-2.996950
32.6360,-7.5789,-1.704723
43.3054,-7.7895,-3.018927
44.1423,-7.7895,-3.008249
44.7699,-7.7895,-2.948491
42.6778,-7.7895,-2.980063
44.9791,-7.7895,-2.929461
41.4226,-7.7895,-2.902868
42.4686,-7.7895,-2.959761
46.0251,-7.7895,-3.008466
47.2803,-7.7895,-3.036087
43.9331,-7.7895,-3.017331
43.0962,-7.7895,-3.009530
44.3515,-7.7895,-2.986198
47.0711,-7.7895,-3.043127
46.6527,-7.7895,-3.037808
46.4435,-7.7895,-3.032684
44.5607,-7.7895,-2.970002
33.0544,-7.5789,-1.704723
33.2636,-7.5789,-1.704723
32.8452,-7.5789,-1.704723
33.4728,-7.5789,-1.704723
33.6820,-7.5789,-1.704723
33.8912,-7.5789,-1.704722
34.3096,-7.5789,-1.704722
34.1004,-7.5789,-1.704722
0.2092,-7.3684,-1.704500
0.4184,-7.3684,-1.704498
0.8368,-7.3684,-1.704497
0.6276,-7.3684,-1.704499
1.0460,-7.3684,-1.704497
1.2552,-7.3684,-1.704497
1.8828,-7.3684,-1.704497
1.4644,-7.3684,-1.704497
2.7197,-7.3684,-1.704498
2.0921,-7.3684,-1.704497
3.9749,-7.3684,-1.704496
1.6736,-7.3684,-1.704497
2.3013,-7.3684,-1.704498
4.6025,-7.3684,-1.704497
3.5565,-7.3684,-1.704497
4.1841,-7.3684,-1.704497
3.1381,-7.3684,-1.704498
2.9289,-7.3684,-1.704498
3.7657,-7.3684,-1.704497
5.6485,-7.3684,-1.704496
3.3473,-7.3684,-1.704497
6.2762,-7.3684,-1.704498
4.3933,-7.3684,-1.704498
8.3682,-7.3684,-1.704497
5.4393,-7.3684,-1.704497
4.8117,-7.3684,-1.704496
2.5105,-7.3684,-1.704498
7.7406,-7.3684,-1.704497
5.0209,-7.3684,-1.704496
7.1130,-7.3684,-1.704497
5.8577,-7.3684,-1.704497
5.2301,-7.3684,-1.704496
9.8326,-7.3684,-1.704497
8.7866,-7.3684,-1.704496
9.4142,-7.3684,-1.704496
7.3222,-7.3684,-1.704497
10.0418,-7.3684,-1.704497
6.0669,-7.3684,-1.704498
6.4854,-7.3684,-1.704497
6.6946,-7.3684,-1.704497
11.9247,-7.3684,-1.704497
11.7155,-7.3684,-1.704497
9.2050,-7.3684,-1.704497
6.9038,-7.3684,-1.704497
8.5774,-7.3684,-1.704496
10.2510,-7.3684,-1.704497
11.2971,-7.3684,-1.704497
8.1590,-7.3684,-1.704496
11.0879,-7.3684,-1.704497
13.3891,-7.3684,-1.704496
10.4603,-7.3684,-1.704497
13.1799,-7.3684,-1.704496
10.6695,-7.3684,-1.704497
12.1339,-7.3684,-1.704497
10.8787,-7.3684,-1.704497
7.5314,-7.3684,-1.704498
7.9498,-7.3684,-1.704497
12.5523,-7.3684,-1.704497
12.3431,-7.3684,-1.704497
8.9958,-7.3684,-1.704497
13.8075,-7.3684,-1.704496
11.5063,-7.3684,-1.704497
14.4351,-7.3684,-1.704497
9.6234,-7.3684,-1.704497
15.0628,-7.3684,-1.704497
13.5983,-7.3684,-1.704496
12.9707,-7.3684,-1.704496
15.2720,-7.3684,-1.704497
12.7615,-7.3684,-1.704497
16.3180,-7.3684,-1.704496
16.9456,-7.3684,-1.704498
17.5732,-7.3684,-1.704498
14.2259,-7.3684,-1.704497
16.5272,-7.3684,-1.704496
