f_avg,delta1,log10_nmse
0.0000,-8.0000,0.000162
0.2092,-8.0000,-1.701944
0.6276,-8.0000,-1.701944
0.4184,-8.0000,-1.701944
2.5105,-8.0000,-1.701944
0.8368,-8.0000,-1.701944
1.4644,-8.0000,-1.701944
36.1925,-8.0000,-1.701944
32.6360,-8.0000,-1.701944
1.2552,-8.0000,-1.701944
5.2301,-8.0000,-1.701944
6.9038,-8.0000,-1.701944
3.9749,-8.0000,-1.701944
29.7071,-8.0000,-1.701944
2.3013,-8.0000,-1.701944
2.7197,-8.0000,-1.701944
20.7113,-8.0000,-1.701944
3.3473,-8.0000,-1.701944
17.9916,-8.0000,-1.701944
17.5732,-8.0000,-1.701944
6.2762,-8.0000,-1.701944
1.6736,-8.0000,-1.701944
20.5021,-8.0000,-1.701944
13.8075,-8.0000,-1.701944
34.5188,-8.0000,-1.701944
19.2469,-8.0000,-1.701944
14.2259,-8.0000,-1.701944
15.4812,-8.0000,-1.701944
21.9665,-8.0000,-1.701944
10.0418,-8.0000,-1.701944
3.7657,-8.0000,-1.701944
7.7406,-8.0000,-1.701944
22.1757,-8.0000,-1.701944
33.8912,-8.0000,-1.701944
12.1339,-8.0000,-1.701944
2.0921,-8.0000,-1.701944
19.0377,-8.0000,-1.701944
15.0628,-8.0000,-1.701944
18.2008,-8.0000,-1.701944
13.3891,-8.0000,-1.701944
31.1715,-8.0000,-1.701944
5.8577,-8.0000,-1.701944
26.7782,-8.0000,-1.701944
12.3431,-8.0000,-1.701944
35.9833,-8.0000,-1.701944
14.6444,-8.0000,-1.701944
9.2050,-8.0000,-1.701944
8.9958,-8.0000,-1.701944
17.7824,-8.0000,-1.701944
5.6485,-8.0000,-1.701944
27.1967,-8.0000,-1.701944
11.7155,-8.0000,-1.701944
11.0879,-8.0000,-1.701944
18.4100,-8.0000,-1.701944
16.1088,-8.0000,-1.701944
10.4603,-8.0000,-1.701944
37.6569,-8.0000,-1.701944
1.8828,-8.0000,-1.701944
30.9623,-8.0000,-1.701944
3.5565,-8.0000,-1.701944
21.7573,-8.0000,-1.701944
32.8452,-8.0000,-1.701944
33.2636,-8.0000,-1.701944
37.4477,-8.0000,-1.701944
24.4770,-8.0000,-1.701944
13.5983,-8.0000,-1.701944
19.8745,-8.0000,-1.701944
34.3096,-8.0000,-1.701944
10.6695,-8.0000,-1.701944
15.6904,-8.0000,-1.701944
7.3222,-8.0000,-1.701944
14.0167,-8.0000,-1.701944
4.3933,-8.0000,-1.701944
1.0460,-8.0000,-1.701944
34.1004,-8.0000,-1.701944
31.5900,-8.0000,-1.701944
28.8703,-8.0000,-1.701944
23.0126,-8.0000,-1.701944
2.9289,-8.0000,-1.701944
8.3682,-8.0000,-1.701944
17.1548,-8.0000,-1.701944
4.8117,-8.0000,-1.701944
20.9205,-8.0000,-1.701944
36.8201,-8.0000,-1.701944
8.1590,-8.0000,-1.701944
28.4519,-8.0000,-1.701944
18.6192,-8.0000,-1.701944
10.8787,-8.0000,-1.701944
10.2510,-8.0000,-1.701944
28.6611,-8.0000,-1.701944
4.6025,-8.0000,-1.701944
37.0293,-8.0000,-1.701944
20.2929,-8.0000,-1.701944
6.4854,-8.0000,-1.701944
14.4351,-8.0000,-1.701944
25.9414,-8.0000,-1.701944
12.9707,-8.0000,-1.701944
22.5941,-8.0000,-1.701944
25.5230,-8.0000,-1.701944
31.3808,-8.0000,-1.701944
