data_rate_Sa,f_avg,delta1,log10_nmse
1000,45.8333,-8.0000,-3.364498
1000,7.2917,5.6667,-1.747332
1000,43.7500,-7.3333,-3.355293
1000,0.0000,0.3333,0.001073
1000,2.0833,-0.3333,-2.325554
1000,22.9167,-2.3333,-3.350946
1000,5.2083,-4.3333,-1.747295
1000,12.5000,-4.0000,-1.747189
1000,18.7500,-4.6667,-1.747271
1000,26.0417,7.6667,-0.339070
1000,6.2500,-8.0000,-1.747501
1000,13.5417,-1.6667,-3.361804
1000,30.2083,8.0000,-1.031941
1000,18.7500,-2.3333,-3.344753
1000,33.3333,-1.0000,-3.352316
1000,50.0000,-6.0000,-3.358311
1000,1.0417,-4.3333,-1.615535
1000,33.3333,-1.3333,-3.356974
1000,6.2500,1.0000,-1.213059
1000,32.2917,-5.0000,-3.347541
1000,10.4167,-3.0000,-1.747233
1000,16.6667,5.0000,-1.395935
1000,23.9583,-5.3333,-3.358878
1000,19.7917,-4.0000,-3.361097
1000,32.2917,-0.3333,-3.370436
1000,21.8750,-4.0000,-3.347466
1000,15.6250,-6.6667,-1.747294
1000,40.6250,-5.6667,-3.359100
1000,0.0000,-0.3333,0.044538
1000,22.9167,-7.3333,-1.747244
1000,6.2500,-1.6667,-1.994479
1000,26.0417,-0.6667,-3.364104
1000,4.1667,-6.6667,-1.747365
1000,14.5833,4.3333,-1.667808
1000,43.7500,-1.0000,-3.349109
1000,30.2083,-2.6667,-3.347859
1000,47.9167,-7.3333,-3.359174
1000,3.1250,5.6667,-1.747314
1000,11.4583,-0.3333,-3.360599
1000,3.1250,0.3333,-1.960842
1000,7.2917,-6.0000,-1.747321
1000,21.8750,7.3333,-1.184146
1000,14.5833,6.3333,-1.747497
1000,44.7917,-0.6667,-3.358431
1000,15.6250,6.3333,-1.747417
1000,32.2917,-4.0000,-3.345724
1000,40.6250,-3.3333,-3.363153
1000,36.4583,-4.3333,-3.353846
1000,21.8750,6.6667,0.232704
1000,12.5000,-0.3333,-3.339013
1000,27.0833,-3.3333,-3.361250
1000,10.4167,-0.6667,-3.358090
1000,42.7083,-4.6667,-3.360770
1000,1.0417,2.0000,-1.365584
1000,6.2500,6.0000,-1.747200
1000,8.3333,6.6667,-1.747459
1000,40.6250,-7.6667,-3.367700
1000,44.7917,-7.3333,-3.354908
1000,6.2500,-4.6667,-1.747256
1000,45.8333,-5.0000,-3.367224
1000,9.3750,6.0000,-1.747274
1000,7.2917,0.6667,-0.683612
1000,8.3333,-2.3333,-1.747275
1000,48.9583,-3.6667,-3.355353
1000,50.0000,-2.6667,-3.342508
1000,32.2917,-1.6667,-3.351627
1000,17.7083,-7.0000,-1.747255
1000,13.5417,8.0000,-1.747344
1000,26.0417,-3.0000,-3.340807
1000,10.4167,4.0000,-1.747186
1000,18.7500,-3.3333,-3.364255
1000,9.3750,7.3333,-1.747495
1000,0.0000,2.0000,0.012432
1000,27.0833,-3.0000,-3.352688
1000,7.2917,-0.6667,-2.001841
1000,17.7083,3.6667,-1.028156
1000,43.7500,-2.6667,-3.355022
1000,2.0833,-7.6667,-1.747381
1000,1.0417,-3.3333,-1.297369
1000,27.0833,-7.3333,-1.747330
1000,12.5000,7.0000,-1.747296
1000,16.6667,5.3333,-1.304319
1000,10.4167,-7.3333,-1.747395
1000,19.7917,5.3333,-1.231815
1000,10.4167,0.3333,-0.654581
1000,0.0000,1.3333,-0.000188
1000,41.6667,-2.3333,-3.339007
1000,2.0833,-4.3333,-1.747322
1000,20.8333,0.0000,-3.289749
1000,12.5000,-1.3333,-3.340553
1000,10.4167,6.3333,-1.747641
1000,12.5000,-3.6667,-1.747228
1000,18.7500,-7.6667,-1.747321
