f_avg,delta1,log10_nmse
3.3473,-7.7895,-1.527279
32.8452,-8.0000,-1.517197
36.8201,-8.0000,-1.517197
42.0502,-8.0000,-1.517197
2.5105,-7.7895,-1.527279
2.0921,-7.7895,-1.527280
35.3556,-8.0000,-1.517197
41.0042,-8.0000,-1.517197
34.1004,-8.0000,-1.517197
41.4226,-8.0000,-1.517197
39.3305,-8.0000,-1.517197
39.9582,-8.0000,-1.517197
38.2845,-8.0000,-1.517197
42.2594,-8.0000,-1.517197
38.0753,-8.0000,-1.517197
35.5649,-8.0000,-1.517197
42.4686,-8.0000,-1.517197
2.7197,-7.7895,-1.527279
41.6318,-8.0000,-1.517197
37.6569,-8.0000,-1.517197
33.0544,-8.0000,-1.517197
2.9289,-7.7895,-1.527279
39.1213,-8.0000,-1.517197
3.1381,-7.7895,-1.527279
40.7950,-8.0000,-1.517197
33.4728,-8.0000,-1.517197
27.6151,-8.0000,-1.517197
29.7071,-8.0000,-1.517197
3.5565,-7.7895,-1.527279
39.5397,-8.0000,-1.517197
36.6109,-8.0000,-1.517197
27.4059,-8.0000,-1.517197
29.2887,-8.0000,-1.517197
35.7741,-8.0000,-1.517197
29.0795,-8.0000,-1.517197
36.1925,-8.0000,-1.517197
4.3933,-7.7895,-1.527279
3.9749,-7.7895,-1.527279
4.6025,-7.7895,-1.527279
7.1130,-7.7895,-1.527279
43.0962,-8.0000,-1.454297
43.7238,-8.0000,-2.344933
6.0669,-7.7895,-1.527279
5.0209,-7.7895,-1.527279
5.6485,-7.7895,-1.527279
14.0167,-7.7895,-1.527278
14.8536,-7.7895,-1.527278
17.3640,-7.7895,-1.527278
13.5983,-7.7895,-1.527278
13.8075,-7.7895,-1.527278
9.6234,-7.7895,-1.527278
11.2971,-7.7895,-1.527278
19.4561,-7.7895,-1.527278
5.4393,-7.7895,-1.527279
5.8577,-7.7895,-1.527279
3.7657,-7.7895,-1.527279
14.6444,-7.7895,-1.527278
4.1841,-7.7895,-1.527279
27.1967,-7.7895,-1.527278
18.8285,-7.7895,-1.527278
11.5063,-7.7895,-1.527278
6.2762,-7.7895,-1.527279
8.3682,-7.7895,-1.527278
7.9498,-7.7895,-1.527278
7.7406,-7.7895,-1.527278
23.4310,-7.7895,-1.527278
6.6946,-7.7895,-1.527278
8.1590,-7.7895,-1.527278
12.7615,-7.7895,-1.527278
5.2301,-7.7895,-1.527279
7.3222,-7.7895,-1.527278
24.0586,-7.7895,-1.527278
15.8996,-7.7895,-1.527278
31.1715,-7.7895,-1.527278
12.3431,-7.7895,-1.527278
14.2259,-7.7895,-1.527278
6.9038,-7.7895,-1.527279
16.5272,-7.7895,-1.527278
9.2050,-7.7895,-1.527278
11.9247,-7.7895,-1.527278
9.4142,-7.7895,-1.527278
21.3389,-7.7895,-1.527278
17.7824,-7.7895,-1.527278
23.0126,-7.7895,-1.527278
36.6109,-7.7895,-1.527278
13.1799,-7.7895,-1.527278
10.6695,-7.7895,-1.527278
36.1925,-7.7895,-1.527278
24.6862,-7.7895,-1.527278
36.8201,-7.7895,-1.527278
26.1506,-7.7895,-1.527278
9.8326,-7.7895,-1.527278
6.4854,-7.7895,-1.527279
16.3180,-7.7895,-1.527278
30.3347,-7.7895,-1.527278
12.1339,-7.7895,-1.527278
27.4059,-7.7895,-1.527278
34.7280,-7.7895,-1.527278
26.3598,-7.7895,-1.527278
4.8117,-7.7895,-1.527279
17.1548,-7.7895,-1.527278
8.9958,-7.7895,-1.527278
8.7866,-7.7895,-1.527278
25.3138,-7.7895,-1.527278
31.5900,-7.7895,-1.527278
18.6192,-7.7895,-1.527278
7.5314,-7.7895,-1.527278
15.6904,-7.7895,-1.527278
28.2427,-7.7895,-1.527278
30.1255,-7.7895,-1.527278
