KAPPA,F_AVG,DELTA1,DELTA2,log10_NMSE,COMB_QI
-4.0000,0.0000,-8.0000,-8.0000,0.2248,0
-4.0000,0.0000,-7.6310,-7.8155,0.0007,0
-4.0000,0.0000,-7.2620,-7.6310,0.0371,0
-4.0000,0.0000,-6.8930,-7.4465,0.0148,0
-4.0000,0.0000,-6.5240,-7.2620,0.0038,0
-4.0000,0.0000,-6.1550,-7.0775,0.0184,0
-4.0000,0.0000,-5.7860,-6.8930,0.0007,0
-4.0000,0.0000,-5.4170,-6.7085,0.0011,0
-4.0000,0.0000,-5.0480,-6.5240,0.0507,0
-4.0000,0.0000,-4.6790,-6.3395,0.0017,0
-4.0000,0.0000,-4.3100,-6.1550,-0.0079,0
-4.0000,0.0000,-3.9410,-5.9705,0.0041,0
-4.0000,0.0000,-3.5720,-5.7860,0.0016,0
-4.0000,0.0000,-3.2030,-5.6015,0.0020,0
-4.0000,0.0000,-2.8340,-5.4170,0.0006,0
-4.0000,0.0000,-2.4650,-5.2325,-0.0005,0
-4.0000,0.0000,-2.0960,-5.0480,0.0489,0
-4.0000,0.0000,-1.7270,-4.8635,0.0014,0
-4.0000,0.0000,-1.3580,-4.6790,0.0017,0
-4.0000,0.0000,-0.9890,-4.4945,0.0012,0
-4.0000,0.0000,-0.6200,-4.3100,0.0012,0
-4.0000,0.0000,-0.2510,-4.1255,0.0009,0
-4.0000,0.0000,0.1180,-3.9410,0.0009,0
-4.0000,0.0000,0.4870,-3.7565,0.0011,0
-4.0000,0.0000,0.8560,-3.5720,0.0051,0
-4.0000,0.0000,1.2250,-3.3875,0.0009,0
-4.0000,0.0000,1.5940,-3.2030,0.0017,0
-4.0000,0.0000,1.9630,-3.0185,0.0077,0
-4.0000,0.0000,2.3320,-2.8340,0.0010,0
-4.0000,0.0000,2.7010,-2.6495,0.0046,0
-4.0000,0.0000,3.0700,-2.4650,0.0010,0
-4.0000,0.0000,3.4390,-2.2805,0.0009,0
-4.0000,0.0000,3.8080,-2.0960,0.0015,0
-4.0000,0.0000,4.1770,-1.9115,0.0015,0
-4.0000,0.0000,4.5460,-1.7270,0.0013,0
-4.0000,0.0000,4.9150,-1.5425,0.0009,0
-4.0000,0.0000,5.2840,-1.3580,0.0171,0
-4.0000,0.0000,5.6530,-1.1735,0.0020,0
-4.0000,0.0000,6.0220,-0.9890,0.0013,0
-4.0000,0.0000,6.3910,-0.8045,-0.0005,0
-4.0000,0.0000,6.7600,-0.6200,0.0013,0
-4.0000,0.0000,7.1290,-0.4355,0.0009,0
-4.0000,0.0000,7.4980,-0.2510,0.0419,0
-4.0000,0.0000,7.8670,-0.0665,0.0338,0
-4.0000,0.3690,-8.0000,-8.0000,-1.6887,0
-4.0000,0.3690,-7.6310,-7.8155,-1.6823,0
-4.0000,0.3690,-7.2620,-7.6310,-1.6926,0
-4.0000,0.3690,-6.8930,-7.4465,-1.6775,0
-4.0000,0.3690,-6.5240,-7.2620,-1.6924,0
-4.0000,0.3690,-6.1550,-7.0775,-1.6846,0
-4.0000,0.3690,-5.7860,-6.8930,-1.6845,0
-4.0000,0.3690,-5.4170,-6.7085,-1.6917,0
-4.0000,0.3690,-5.0480,-6.5240,-1.6773,0
-4.0000,0.3690,-4.6790,-6.3395,-1.6914,0
-4.0000,0.3690,-4.3100,-6.1550,-1.6815,0
-4.0000,0.3690,-3.9410,-5.9705,-1.6877,0
-4.0000,0.3690,-3.5720,-5.7860,-1.6876,0
-4.0000,0.3690,-3.2030,-5.6015,-1.6785,0
-4.0000,0.3690,-2.8340,-5.4170,-1.6905,0
-4.0000,0.3690,-2.4650,-5.2325,-1.6775,0
-4.0000,0.3690,-2.0960,-5.0480,-1.6840,0
-4.0000,0.3690,-1.7270,-4.8635,-1.6829,0
-4.0000,0.3690,-1.3580,-4.6790,-1.6797,0
-4.0000,0.3690,-0.9890,-4.4945,-1.6773,0
-4.0000,0.3690,-0.6200,-4.3100,-1.6778,0
-4.0000,0.3690,-0.2510,-4.1255,-1.6787,0
-4.0000,0.3690,0.1180,-3.9410,-1.6780,0
-4.0000,0.3690,0.4870,-3.7565,-1.6790,0
-4.0000,0.3690,0.8560,-3.5720,-1.6766,0
-4.0000,0.3690,1.2250,-3.3875,-1.6769,0
-4.0000,0.3690,1.5940,-3.2030,-1.6858,0
-4.0000,0.3690,1.9630,-3.0185,-1.6782,0
-4.0000,0.3690,2.3320,-2.8340,-1.6839,0
-4.0000,0.3690,2.7010,-2.6495,-1.6870,0
-4.0000,0.3690,3.0700,-2.4650,-1.6799,0
-4.0000,0.3690,3.4390,-2.2805,-1.6901,0
-4.0000,0.3690,3.8080,-2.0960,-1.6780,0
-4.0000,0.3690,4.1770,-1.9115,-1.6903,0
-4.0000,0.3690,4.5460,-1.7270,-1.6852,0
-4.0000,0.3690,4.9150,-1.5425,-1.6827,0
-4.0000,0.3690,5.2840,-1.3580,-1.6924,0
-4.0000,0.3690,5.6530,-1.1735,-1.6772,0
-4.0000,0.3690,6.0220,-0.9890,-1.6919,0
-4.0000,0.3690,6.3910,-0.8045,-1.6837,0
-4.0000,0.3690,6.7600,-0.6200,-1.6873,0
-4.0000,0.3690,7.1290,-0.4355,-1.6905,0
-4.0000,0.3690,7.4980,-0.2510,-1.6779,0
-4.0000,0.3690,7.8670,-0.0665,-1.6937,0
-4.0000,0.7380,-8.0000,-8.0000,-1.6887,0
-4.0000,0.7380,-7.6310,-7.8155,-1.6823,0
-4.0000,0.7380,-7.2620,-7.6310,-1.6926,0
-4.0000,0.7380,-6.8930,-7.4465,-1.6775,0
-4.0000,0.7380,-6.5240,-7.2620,-1.6924,0
-4.0000,0.7380,-6.1550,-7.0775,-1.6846,0
-4.0000,0.7380,-5.7860,-6.8930,-1.6845,0
-4.0000,0.7380,-5.4170,-6.7085,-1.6917,0
-4.0000,0.7380,-5.0480,-6.5240,-1.6773,0
-4.0000,0.7380,-4.6790,-6.3395,-1.6914,0
-4.0000,0.7380,-4.3100,-6.1550,-1.6815,0
-4.0000,0.7380,-3.9410,-5.9705,-1.6877,0
-4.0000,0.7380,-3.5720,-5.7860,-1.6876,0
-4.0000,0.7380,-3.2030,-5.6015,-1.6786,0
-4.0000,0.7380,-2.8340,-5.4170,-1.6905,0
-4.0000,0.7380,-2.4650,-5.2325,-1.6775,0
-4.0000,0.7380,-2.0960,-5.0480,-1.6840,0
-4.0000,0.7380,-1.7270,-4.8635,-1.6829,0
-4.0000,0.7380,-1.3580,-4.6790,-1.6797,0
-4.0000,0.7380,-0.9890,-4.4945,-1.6773,0
-4.0000,0.7380,-0.6200,-4.3100,-1.6778,0
-4.0000,0.7380,-0.2510,-4.1255,-1.6787,0
-4.0000,0.7380,0.1180,-3.9410,-1.6780,0
-4.0000,0.7380,0.4870,-3.7565,-1.6790,0
-4.0000,0.7380,0.8560,-3.5720,-1.6766,0
-4.0000,0.7380,1.2250,-3.3875,-1.6769,0
-4.0000,0.7380,1.5940,-3.2030,-1.6858,0
-4.0000,0.7380,1.9630,-3.0185,-1.6782,0
