KAPPA,F_AVG,DELTA1,DELTA2,log10_NMSE,COMB_QI
4.0000,0.0000,-8.0000,0.0000,0.1372,0
4.0000,0.0000,-7.6310,0.1845,0.0298,0
4.0000,0.0000,-7.2620,0.3690,0.0035,0
4.0000,0.0000,-6.8930,0.5535,0.0006,0
4.0000,0.0000,-6.5240,0.7380,0.0510,0
4.0000,0.0000,-6.1550,0.9225,-0.0122,0
4.0000,0.0000,-5.7860,1.1070,0.0011,0
4.0000,0.0000,-5.4170,1.2915,0.0004,0
4.0000,0.0000,-5.0480,1.4760,0.0350,0
4.0000,0.0000,-4.6790,1.6605,0.0012,0
4.0000,0.0000,-4.3100,1.8450,0.0010,0
4.0000,0.0000,-3.9410,2.0295,0.0009,0
4.0000,0.0000,-3.5720,2.2140,0.0011,0
4.0000,0.0000,-3.2030,2.3985,0.0014,0
4.0000,0.0000,-2.8340,2.5830,0.0009,0
4.0000,0.0000,-2.4650,2.7675,0.0033,0
4.0000,0.0000,-2.0960,2.9520,0.0010,0
4.0000,0.0000,-1.7270,3.1365,0.0039,0
4.0000,0.0000,-1.3580,3.3210,-0.0009,0
4.0000,0.0000,-0.9890,3.5055,0.0012,0
4.0000,0.0000,-0.6200,3.6900,0.0041,0
4.0000,0.0000,-0.2510,3.8745,0.0012,0
4.0000,0.0000,0.1180,4.0590,0.0009,0
4.0000,0.0000,0.4870,4.2435,-0.0177,0
4.0000,0.0000,0.8560,4.4280,0.0988,0
4.0000,0.0000,1.2250,4.6125,0.0009,0
4.0000,0.0000,1.5940,4.7970,-0.0034,0
4.0000,0.0000,1.9630,4.9815,0.0029,0
4.0000,0.0000,2.3320,5.1660,0.0023,0
4.0000,0.0000,2.7010,5.3505,0.0009,0
4.0000,0.0000,3.0700,5.5350,0.0022,0
4.0000,0.0000,3.4390,5.7195,0.0041,0
4.0000,0.0000,3.8080,5.9040,0.0012,0
4.0000,0.0000,4.1770,6.0885,0.0011,0
4.0000,0.0000,4.5460,6.2730,0.0018,0
4.0000,0.0000,4.9150,6.4575,0.0010,0
4.0000,0.0000,5.2840,6.6420,0.0291,0
4.0000,0.0000,5.6530,6.8265,0.0166,0
4.0000,0.0000,6.0220,7.0110,-0.0154,0
4.0000,0.0000,6.3910,7.1955,0.0659,0
4.0000,0.0000,6.7600,7.3800,0.0068,0
4.0000,0.0000,7.1290,7.5645,0.0008,0
4.0000,0.0000,7.4980,7.7490,0.3225,0
4.0000,0.0000,7.8670,7.9335,0.0337,0
4.0000,0.3690,-8.0000,0.0000,-1.6887,0
4.0000,0.3690,-7.6310,0.1845,-1.6823,0
4.0000,0.3690,-7.2620,0.3690,-1.6926,0
