KAPPA,F_AVG,DELTA1,DELTA2,log10_NMSE,COMB_QI
0.0000,0.0000,-8.0000,-4.0000,1.7355,0
0.0000,0.0000,-7.6310,-3.8155,0.0362,0
0.0000,0.0000,-7.2620,-3.6310,0.0032,0
0.0000,0.0000,-6.8930,-3.4465,0.0007,0
0.0000,0.0000,-6.5240,-3.2620,0.0508,0
0.0000,0.0000,-6.1550,-3.0775,-0.0106,0
0.0000,0.0000,-5.7860,-2.8930,0.0011,0
0.0000,0.0000,-5.4170,-2.7085,0.0009,0
0.0000,0.0000,-5.0480,-2.5240,0.0459,0
0.0000,0.0000,-4.6790,-2.3395,0.0013,0
0.0000,0.0000,-4.3100,-2.1550,0.0011,0
0.0000,0.0000,-3.9410,-1.9705,0.0009,0
0.0000,0.0000,-3.5720,-1.7860,0.0012,0
0.0000,0.0000,-3.2030,-1.6015,0.0011,0
0.0000,0.0000,-2.8340,-1.4170,0.0009,0
0.0000,0.0000,-2.4650,-1.2325,0.0095,0
0.0000,0.0000,-2.0960,-1.0480,0.0014,0
0.0000,0.0000,-1.7270,-0.8635,0.0009,0
0.0000,0.0000,-1.3580,-0.6790,0.0009,0
0.0000,0.0000,-0.9890,-0.4945,-0.0105,0
0.0000,0.0000,-0.6200,-0.3100,0.0009,0
0.0000,0.0000,-0.2510,-0.1255,0.0003,0
0.0000,0.0000,0.1180,0.0590,0.0015,0
0.0000,0.0000,0.4870,0.2435,0.0010,0
0.0000,0.0000,0.8560,0.4280,0.0006,0
0.0000,0.0000,1.2250,0.6125,0.0009,0
0.0000,0.0000,1.5940,0.7970,0.0009,0
0.0000,0.0000,1.9630,0.9815,0.0009,0
0.0000,0.0000,2.3320,1.1660,0.0013,0
0.0000,0.0000,2.7010,1.3505,0.0001,0
0.0000,0.0000,3.0700,1.5350,0.0009,0
0.0000,0.0000,3.4390,1.7195,0.0009,0
0.0000,0.0000,3.8080,1.9040,0.0010,0
0.0000,0.0000,4.1770,2.0885,0.0011,0
0.0000,0.0000,4.5460,2.2730,0.0024,0
0.0000,0.0000,4.9150,2.4575,0.0009,0
0.0000,0.0000,5.2840,2.6420,0.0480,0
0.0000,0.0000,5.6530,2.8265,0.0019,0
0.0000,0.0000,6.0220,3.0110,0.0021,0
0.0000,0.0000,6.3910,3.1955,-0.0006,0
0.0000,0.0000,6.7600,3.3800,0.0009,0
0.0000,0.0000,7.1290,3.5645,0.0005,0
0.0000,0.0000,7.4980,3.7490,0.0419,0
0.0000,0.0000,7.8670,3.9335,0.0337,0
0.0000,0.3690,-8.0000,-4.0000,-1.6887,0
0.0000,0.3690,-7.6310,-3.8155,-1.6823,0
0.0000,0.3690,-7.2620,-3.6310,-1.6926,0
0.0000,0.3690,-6.8930,-3.4465,-1.6775,0
0.0000,0.3690,-6.5240,-3.2620,-1.6924,0
0.0000,0.3690,-6.1550,-3.0775,-1.6846,0
0.0000,0.3690,-5.7860,-2.8930,-1.6845,0
0.0000,0.3690,-5.4170,-2.7085,-1.6917,0
0.0000,0.3690,-5.0480,-2.5240,-1.6773,0
0.0000,0.3690,-4.6790,-2.3395,-1.6914,0
0.0000,0.3690,-4.3100,-2.1550,-1.6815,0
0.0000,0.3690,-3.9410,-1.9705,-1.6877,0
0.0000,0.3690,-3.5720,-1.7860,-1.6876,0
0.0000,0.3690,-3.2030,-1.6015,-1.6785,0
0.0000,0.3690,-2.8340,-1.4170,-1.6905,0
0.0000,0.3690,-2.4650,-1.2325,-1.6775,0
0.0000,0.3690,-2.0960,-1.0480,-1.6840,0
0.0000,0.3690,-1.7270,-0.8635,-1.6829,0
0.0000,0.3690,-1.3580,-0.6790,-1.6797,0
0.0000,0.3690,-0.9890,-0.4945,-1.6773,0
0.0000,0.3690,-0.6200,-0.3100,-1.6778,0
0.0000,0.3690,-0.2510,-0.1255,-1.6787,0
0.0000,0.3690,0.1180,0.0590,-1.6780,0
0.0000,0.3690,0.4870,0.2435,-1.6790,0
0.0000,0.3690,0.8560,0.4280,-1.6766,0
0.0000,0.3690,1.2250,0.6125,-1.6769,0
0.0000,0.3690,1.5940,0.7970,-1.6858,0
0.0000,0.3690,1.9630,0.9815,-1.6782,0
0.0000,0.3690,2.3320,1.1660,-1.6839,0
0.0000,0.3690,2.7010,1.3505,-1.6870,0
0.0000,0.3690,3.0700,1.5350,-1.6799,0
0.0000,0.3690,3.4390,1.7195,-1.6901,0
0.0000,0.3690,3.8080,1.9040,-1.6780,0
0.0000,0.3690,4.1770,2.0885,-1.6903,0
0.0000,0.3690,4.5460,2.2730,-1.6852,0
0.0000,0.3690,4.9150,2.4575,-1.6827,0
0.0000,0.3690,5.2840,2.6420,-1.6924,0
0.0000,0.3690,5.6530,2.8265,-1.6772,0
