favg_\ delta1,-8.0000,-7.6667,-7.3333,-7.0000,-6.6667,-6.3333,-6.0000,-5.6667,-5.3333,-5.0000,-4.6667,-4.3333,-4.0000,-3.6667,-3.3333,-3.0000,-2.6667,-2.3333,-2.0000,-1.6667,-1.3333,-1.0000,-0.6667,-0.3333,0.0000,0.3333,0.6667,1.0000,1.3333,1.6667,2.0000,2.3333,2.6667,3.0000,3.3333,3.6667,4.0000,4.3333,4.6667,5.0000,5.3333,5.6667,6.0000,6.3333,6.6667,7.0000,7.3333,7.6667,8.0000
0.0000,0.000374,-0.000165,-0.001024,0.000361,0.000181,-0.000526,0.000243,0.001157,-0.000202,0.002359,0.000166,0.000692,0.000146,0.007611,0.002338,0.000223,0.223825,0.000157,0.000152,-0.001398,-0.000197,0.002484,-0.005310,0.000132,0.000131,0.000218,-0.000153,-0.000960,0.000201,0.000124,0.000187,0.000130,0.000143,-0.000191,0.000123,0.000116,0.000012,0.000147,0.000122,0.000122,0.000503,0.001281,0.000710,0.000127,0.000137,0.000122,0.000109,0.000116,0.000185
1.0417,-1.779859,-1.780101,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764308,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-1.778885,-1.777644,-1.775004,-1.760664,-1.736702,-1.760664,-1.775004,-1.777644,-1.778885,-1.779387,-1.778680,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764308,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780101,-1.779859
2.0833,-1.779859,-1.780100,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764304,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-1.778885,-1.777644,-1.775004,-1.760664,-1.736702,-1.760664,-1.775004,-1.777644,-1.778885,-1.779387,-1.778680,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764304,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780100,-1.779859
3.1250,-1.779859,-1.780101,-1.780268,-1.758556,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764304,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-1.778885,-1.777644,-1.775004,-1.760664,-1.736702,-1.760664,-1.775004,-1.777644,-1.778885,-1.779387,-1.778680,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764304,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758556,-1.780268,-1.780101,-1.779859
4.1667,-1.779859,-1.780100,-1.780268,-1.758556,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764304,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-1.778885,-1.777644,-1.775004,-0.688747,-1.494209,-1.664201,-1.774759,-1.777644,-1.778885,-1.779387,-1.778680,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764304,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758556,-1.780268,-1.780100,-1.779859
5.2083,-1.779859,-1.780100,-1.780268,-1.758556,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-1.778885,-1.777644,-1.496198,-1.045340,-1.203595,-1.391581,-1.590201,-1.710969,-1.778885,-1.779387,-1.778680,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758556,-1.780268,-1.780100,-1.779859
6.2500,-1.779859,-1.780100,-1.780268,-1.758556,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-1.778885,-0.222391,-1.305314,-0.865001,-0.125563,-1.155594,-0.789356,-1.307250,-1.543423,-1.779387,-1.778680,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758556,-1.780268,-1.780100,-1.779859
7.2917,-1.779859,-1.780100,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.779387,-0.944415,-1.128340,-0.809669,-0.185146,-0.163071,-0.742480,-0.971669,-1.281878,-1.424526,-1.392678,-2.342999,-1.753676,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780100,-1.779859
8.3333,-1.779859,-1.780100,-1.780268,-1.758555,-1.780209,-1.779894,-1.779386,-1.779138,-1.779703,-1.780370,-1.764303,-1.781198,-1.780038,-1.779226,-1.779489,-1.780086,-1.780312,-1.753676,-1.778680,-1.052140,0.053584,-0.641885,-0.272777,0.595979,0.825144,-0.232066,-0.779442,-0.997177,-1.147328,-1.367615,-1.069902,-1.677080,-1.780312,-1.780086,-1.779489,-1.779226,-1.780038,-1.781198,-1.764303,-1.780370,-1.779703,-1.779138,-1.779386,-1.779894,-1.780209,-1.758555,-1.780268,-1.780100,-1.779859
