f_avg,delta1,log10_nmse
22.1757,-8.0000,-1.000880
19.6653,-8.0000,-1.000880
38.0753,-8.0000,-1.000880
17.7824,-8.0000,-1.000880
18.6192,-8.0000,-1.000880
5.4393,-8.0000,-1.000880
22.3849,-8.0000,-1.000880
22.8033,-8.0000,-1.000880
24.0586,-8.0000,-1.000880
8.5774,-8.0000,-1.000880
7.9498,-8.0000,-1.000880
6.2762,-8.0000,-1.000880
19.0377,-8.0000,-1.000880
3.9749,-8.0000,-1.000880
19.8745,-8.0000,-1.000880
11.9247,-8.0000,-1.000880
23.4310,-8.0000,-1.000880
11.0879,-8.0000,-1.000880
15.4812,-8.0000,-1.000880
14.8536,-8.0000,-1.000880
18.4100,-8.0000,-1.000880
21.7573,-8.0000,-1.000880
39.9582,-8.0000,-1.000880
13.1799,-8.0000,-1.000880
18.8285,-8.0000,-1.000880
23.8494,-8.0000,-1.000880
21.9665,-8.0000,-1.000880
16.1088,-8.0000,-1.000880
23.0126,-8.0000,-1.000880
0.0000,-7.7895,0.006148
40.1674,-8.0000,-1.000880
41.4226,-8.0000,-1.000880
40.3766,-8.0000,-1.000880
41.6318,-8.0000,-1.000880
40.7950,-8.0000,-1.000880
0.2092,-7.7895,-1.000134
1.8828,-7.7895,-1.000132
0.4184,-7.7895,-1.000132
0.8368,-7.7895,-1.000132
1.2552,-7.7895,-1.000132
42.0502,-8.0000,-1.000880
1.4644,-7.7895,-1.000132
1.0460,-7.7895,-1.000132
40.5858,-8.0000,-1.000880
1.6736,-7.7895,-1.000132
41.2134,-8.0000,-1.000880
0.6276,-7.7895,-1.000132
41.0042,-8.0000,-1.000880
42.4686,-8.0000,-1.000880
16.1088,-7.7895,-1.000132
6.0669,-7.7895,-1.000132
11.7155,-7.7895,-1.000132
42.2594,-8.0000,-1.000880
2.9289,-7.7895,-1.000132
3.7657,-7.7895,-1.000132
4.1841,-7.7895,-1.000132
8.3682,-7.7895,-1.000132
5.6485,-7.7895,-1.000132
42.8870,-8.0000,-1.000880
10.4603,-7.7895,-1.000132
11.9247,-7.7895,-1.000132
41.8410,-8.0000,-1.000880
2.0921,-7.7895,-1.000132
8.9958,-7.7895,-1.000132
4.3933,-7.7895,-1.000132
12.5523,-7.7895,-1.000132
12.9707,-7.7895,-1.000132
9.4142,-7.7895,-1.000132
9.2050,-7.7895,-1.000132
42.6778,-8.0000,-1.000880
14.6444,-7.7895,-1.000132
13.8075,-7.7895,-1.000132
11.5063,-7.7895,-1.000132
11.2971,-7.7895,-1.000132
