gamma21,f_avg,delta1,log10_nmse
1,10.2041,-6.3590,-1.766494
0.01,42.8571,4.3077,-2.980063
10,14.2857,-8.0000,-1.758642
0.1,46.9388,0.2051,-0.374262
0.01,9.1837,3.0769,-2.127121
0.1,47.9592,4.7179,-2.956286
100,8.1633,-0.2051,-2.086608
1,8.1633,3.4872,-1.769358
10,17.3469,3.0769,-1.749336
1,34.6939,-2.2564,-3.204737
100,0.0000,5.9487,2.497404
10,19.3878,-7.5897,-1.765514
10,21.4286,-7.1795,-1.771671
0.01,37.7551,-6.3590,-2.658887
0.1,41.8367,4.3077,-2.856524
0.1,14.2857,-3.4872,-3.378287
10,21.4286,-7.5897,-1.765513
100,31.6327,2.2564,-2.486378
100,23.4694,-6.3590,-2.531798
1,14.2857,-3.8974,-1.767027
0.1,34.6939,5.1282,-2.713945
10,13.2653,-1.4359,-1.368955
0.1,45.9184,4.7179,-2.831711
0.01,30.6122,7.5897,-2.858646
0.01,34.6939,-3.0769,-2.681752
100,14.2857,-7.5897,-1.765515
100,26.5306,-6.3590,-2.419125
0.01,36.7347,-6.3590,-3.238560
0.01,2.0408,-5.9487,-1.769043
0.1,50.0000,-4.3077,-2.896371
0.01,20.4082,6.7692,-2.529798
10,42.8571,3.0769,-1.286475
100,10.2041,-4.3077,-2.660983
1,41.8367,-2.6667,-3.334319
10,3.0612,-4.3077,-1.751330
0.1,26.5306,-4.3077,-3.163858
0.01,25.5102,-5.5385,-3.324359
1,6.1224,-3.8974,-1.767027
0.1,41.8367,-7.1795,-3.170660
0.01,43.8776,3.0769,-0.739634
1,45.9184,-4.7179,-3.366748
0.1,47.9592,3.8974,-1.544110
10,22.4490,1.8462,-0.270000
0.01,17.3469,-7.1795,-1.762146
0.01,24.4898,-3.4872,-3.059787
10,39.7959,-8.0000,-1.758636
0.1,44.8980,-0.2051,-2.486618
0.1,5.1020,7.1795,-1.771670
0.1,43.8776,-2.2564,-3.291111
0.1,14.2857,6.3590,-1.283482
1,33.6735,7.1795,-1.298511
0.1,15.3061,-4.7179,-1.770649
100,6.1224,-5.5385,-2.316713
100,41.8367,-1.4359,-2.438530
10,24.4898,0.6154,-3.160833
0.01,19.3878,-3.8974,-2.104214
1,34.6939,-6.7692,-2.579566
100,44.8980,-2.6667,-2.449448
0.01,28.5714,1.8462,-1.521441
10,36.7347,4.7179,-0.933402
0.01,36.7347,3.8974,-2.521216
100,3.0612,-0.6154,-2.561503
100,38.7755,-5.5385,-2.485924
1,45.9184,7.1795,-1.694170
0.01,1.0204,-6.7692,-1.754032
0.01,33.6735,6.7692,-2.903088
0.1,14.2857,-3.8974,-1.767027
100,45.9184,1.0256,-2.361217
0.01,23.4694,5.5385,-2.829078
1,33.6735,0.2051,-0.348465
10,40.8163,-3.0769,-1.900345
0.01,6.1224,-6.7692,-1.752982
0.1,24.4898,1.0256,-0.713930
10,32.6531,6.7692,-1.756211
10,45.9184,7.5897,-1.979535
0.01,20.4082,2.6667,-2.047042
0.01,5.1020,8.0000,-1.752652
10,38.7755,-1.4359,-3.348039
0.1,27.5510,-0.2051,-2.425492
0.1,10.2041,-1.4359,-2.864841
1,41.8367,3.8974,-1.420794
100,31.6327,-1.0256,-2.347449
0.01,3.0612,-6.7692,-1.749341
0.01,19.3878,-0.2051,-2.702853
10,34.6939,4.3077,0.054205
0.01,44.8980,7.5897,-2.936902
10,21.4286,-8.0000,-1.758637
0.01,48.9796,5.1282,-2.663734
10,13.2653,-7.1795,-1.771671
100,20.4082,2.2564,-2.624559
100,40.8163,-1.4359,-2.406683
1,18.3673,2.2564,-0.205158
1,32.6531,0.6154,-0.363911
0.1,23.4694,1.0256,-0.581135
10,35.7143,6.7692,-1.756211
0.1,5.1020,-1.4359,-1.759316
1,41.8367,-3.0769,-3.316626
10,5.1020,7.1795,-1.771670
0.1,38.7755,4.7179,-2.767823
0.01,22.4490,6.7692,-2.833970
0.01,14.2857,-3.8974,-1.759433
0.01,11.2245,1.0256,-0.938913
100,14.2857,-7.1795,-1.771671
0.1,2.0408,3.0769,-1.749336
10,32.6531,5.9487,-1.771293
10,33.6735,6.7692,-1.756212
100,9.1837,3.4872,-2.587496
0.1,26.5306,-6.7692,-1.756211
0.1,17.3469,1.8462,-0.725831
1,14.2857,-0.2051,-2.174732
100,0.0000,0.6154,0.830117
1,4.0816,2.6667,-1.765627
100,50.0000,3.0769,-2.481707
1,41.8367,7.5897,-1.782505
1,5.1020,8.0000,-1.758643
1,50.0000,-3.4872,-3.273518
0.01,40.8163,-6.7692,-2.434056
0.1,43.8776,-1.0256,-2.783201
0.1,33.6735,0.2051,-0.210373
10,40.8163,-3.4872,-1.340413
10,13.2653,-0.2051,-2.897633
100,40.8163,-4.3077,-2.389592
1,3.0612,-3.8974,-1.767027
10,32.6531,1.4359,-1.824386
1,30.6122,0.6154,-0.483041
1,20.4082,-3.0769,-3.353154
0.1,32.6531,1.8462,-0.169601
1,7.1429,6.7692,-1.756214
1,35.7143,-0.2051,-3.349538
0.1,22.4490,2.6667,-1.068785
100,6.1224,2.6667,-2.660137
0.01,50.0000,8.0000,-1.730868
1,35.7143,2.6667,-0.268121
1,47.9592,8.0000,-2.130458
100,8.1633,4.7179,-2.655857
0.1,41.8367,3.4872,-0.716844
10,7.1429,-4.7179,-1.770649
0.1,39.7959,-2.6667,-2.944039
1,44.8980,-7.1795,-3.350319
0.1,7.1429,-0.6154,-0.587168
10,19.3878,-8.0000,-1.758638
1,39.7959,3.8974,-1.042058
0.01,12.2449,8.0000,-1.751800
100,18.3673,3.0769,-2.169721
0.01,43.8776,-5.9487,-3.005415
0.01,46.9388,-4.3077,-3.008990
0.01,3.0612,0.6154,-2.127440
100,32.6531,6.3590,-1.499126
10,40.8163,-0.6154,-3.327530
100,4.0816,1.8462,-2.622951
1,44.8980,5.5385,-2.331894
100,22.4490,3.4872,-2.055740
10,20.4082,-3.8974,-1.767027
0.1,39.7959,-6.7692,-2.820437
100,42.8571,1.8462,-2.415067
10,46.9388,-6.3590,-1.766493
1,5.1020,7.5897,-1.765516
1,44.8980,-7.5897,-3.094815
10,14.2857,5.1282,-1.767068
100,34.6939,-4.3077,-2.416118
1,11.2245,7.5897,-1.765514
0.01,7.1429,-4.7179,-1.762506
0.1,42.8571,7.1795,-2.948371
0.1,28.5714,8.0000,-1.807258
0.1,24.4898,4.7179,-1.842175
0.1,36.7347,-5.5385,-3.002760
0.1,45.9184,-5.5385,-2.211596
10,13.2653,-5.5385,-1.753715
100,18.3673,5.5385,-2.513533
10,14.2857,-2.2564,-1.765771
0.1,21.4286,-2.6667,-2.572124
0.1,18.3673,-7.1795,-1.771672
1,50.0000,5.1282,-2.345755
100,45.9184,5.5385,-2.485774
100,18.3673,2.6667,-2.237340
100,32.6531,1.8462,-2.495044
10,3.0612,-7.5897,-1.765514
10,10.2041,-7.5897,-1.765513
0.1,1.0204,5.9487,-1.771294
1,20.4082,-7.5897,-1.765513
100,17.3469,-4.7179,-2.577593
0.1,5.1020,-7.5897,-1.765516
10,33.6735,3.8974,-1.092080
0.1,22.4490,-2.6667,-2.850212
0.01,4.0816,0.6154,-1.782838
10,21.4286,-6.7692,-1.756212
10,16.3265,4.7179,-1.770649
0.01,24.4898,0.6154,0.113148
100,34.6939,-3.4872,-2.555203
1,30.6122,-5.1282,-2.788541
10,34.6939,-4.7179,-1.770649
10,12.2449,-1.8462,-1.748056
10,19.3878,-1.4359,-1.229673
0.1,5.1020,1.0256,-1.923753
10,23.4694,0.6154,-3.224123
100,36.7347,1.4359,-2.427521
0.1,41.8367,8.0000,-2.675837
0.1,37.7551,-5.1282,-2.440805
10,37.7551,2.6667,-1.315211
1,50.0000,-3.8974,-3.164244
100,24.4898,4.7179,-2.268006
100,23.4694,-4.3077,-2.573736
100,33.6735,4.7179,-2.580120
1,18.3673,0.6154,-0.038365
0.1,28.5714,-5.5385,-2.819500
100,37.7551,-1.4359,-2.405438
0.1,40.8163,-3.0769,-3.180123
10,23.4694,2.2564,-1.293389
0.1,40.8163,2.6667,-0.769643
0.01,41.8367,-1.8462,-3.232356
10,33.6735,4.7179,-1.589150
1,50.0000,1.4359,-0.551310
0.1,15.3061,0.2051,-0.983519
10,12.2449,5.1282,-1.767067
100,12.2449,-0.6154,-2.564282
0.1,3.0612,0.2051,-2.267738
0.1,28.5714,-3.8974,-2.183990
10,33.6735,0.6154,-2.405093
0.1,47.9592,-4.7179,-2.959466
1,2.0408,-8.0000,-1.758641
10,47.9592,5.1282,-1.053597
100,33.6735,-6.3590,-2.437046
10,7.1429,3.0769,-1.749336
0.01,36.7347,6.7692,-2.587979
1,41.8367,-4.7179,-3.356139
0.1,3.0612,3.0769,-1.749336
1,47.9592,-3.8974,-3.331086
0.1,16.3265,-8.0000,-1.758640
1,34.6939,1.4359,-0.622605
10,2.0408,-3.4872,-1.769358
0.01,7.1429,7.5897,-1.760756
10,47.9592,1.0256,-2.954884
100,32.6531,1.4359,-2.475802
100,18.3673,-5.9487,-2.621210
0.01,7.1429,-3.0769,-1.908401
1,10.2041,-2.2564,0.075473
0.1,50.0000,-4.7179,-3.297788
1,10.2041,3.8974,-1.767027
1,38.7755,-2.2564,-3.217580
0.01,47.9592,5.5385,-2.466803
1,31.6327,-7.1795,-1.771670
1,45.9184,-7.1795,-2.439803
10,29.5918,-1.4359,-3.323741
0.1,48.9796,-3.4872,-2.622384
1,8.1633,-4.3077,-1.751330
100,50.0000,-4.3077,-2.536216
10,14.2857,8.0000,-1.758642
0.1,11.2245,-1.8462,-2.170157
0.1,17.3469,2.6667,-2.110901
10,16.3265,-1.8462,-1.291511
10,17.3469,4.3077,-1.751330
0.01,28.5714,-5.5385,-3.313045
1,17.3469,3.8974,-0.589724
100,17.3469,0.6154,-2.441533
1,25.5102,4.7179,-1.507558
0.1,5.1020,-6.3590,-1.766493
1,43.8776,-4.7179,-3.191666
1,6.1224,6.3590,-1.766493
0.01,10.2041,-5.1282,-1.760339
10,34.6939,-0.2051,-3.115462
0.1,2.0408,5.9487,-1.771292
0.1,3.0612,-2.6667,-1.765674
10,44.8980,-8.0000,-1.758637
10,44.8980,3.4872,-0.804196
1,18.3673,-5.5385,-1.753709
1,24.4898,-7.1795,-1.771671
10,47.9592,-1.0256,-3.336366
0.1,9.1837,-4.7179,-1.770649
100,34.6939,7.5897,-1.765512
0.1,15.3061,-4.3077,-1.751330
10,33.6735,-3.0769,-0.802269
10,31.6327,-1.0256,-3.070726
0.1,29.5918,4.7179,-2.532720
1,7.1429,-2.6667,-1.765627
10,38.7755,2.6667,-1.343525
1,21.4286,8.0000,-2.020548
10,1.0204,-5.5385,-1.753719
100,2.0408,6.7692,-1.710669
1,40.8163,3.8974,-0.970420
0.1,15.3061,-6.3590,-1.766495
0.1,29.5918,-2.2564,-2.964535
10,7.1429,-5.9487,-1.771293
10,17.3469,-6.3590,-1.766495
0.1,21.4286,6.3590,-1.691675
1,43.8776,-5.1282,-3.282218
0.01,48.9796,-5.1282,-2.937554
0.01,6.1224,-4.3077,-1.713284
0.1,10.2041,1.0256,-0.248799
100,39.7959,7.1795,-2.420539
1,26.5306,-7.1795,-1.771670
0.01,22.4490,4.7179,-2.398989
1,22.4490,-3.0769,-3.378137
1,42.8571,1.8462,-0.626497
1,12.2449,-4.3077,-1.751330
100,33.6735,-4.3077,-2.429762
0.01,26.5306,7.5897,-2.601775
0.1,46.9388,5.5385,-2.659556
100,1.0204,-4.3077,-1.738005
0.1,42.8571,4.7179,-2.919534
1,15.3061,-4.7179,-1.770649
0.1,42.8571,3.0769,-0.822754
0.01,11.2245,7.1795,-1.766537
1,27.5510,-3.8974,-3.089106
10,50.0000,3.0769,-1.480361
10,21.4286,-4.3077,-1.751330
10,27.5510,5.9487,-1.771293
1,17.3469,1.8462,-0.043606
0.01,13.2653,-3.0769,-1.793415
0.01,47.9592,-2.6667,-2.688459
0.01,50.0000,2.6667,-1.084461
10,13.2653,6.3590,-1.766495
10,41.8367,2.2564,-0.688689
1,45.9184,2.2564,-0.169686
10,19.3878,4.7179,-1.770649
100,20.4082,4.3077,-2.418636
1,37.7551,5.9487,-1.713271
0.1,35.7143,7.5897,-2.320715
10,47.9592,-7.5897,-1.765511
1,20.4082,2.2564,-0.570206
100,28.5714,6.7692,-2.108867
0.1,11.2245,0.2051,-0.470196
0.01,34.6939,-0.6154,-2.389451
100,6.1224,5.5385,-2.613557
10,28.5714,1.4359,-1.916830
0.01,25.5102,-6.3590,-1.759832
0.1,11.2245,-3.0769,-1.749336
1,12.2449,-2.6667,-1.263520
100,32.6531,-3.0769,-2.305586
1,46.9388,4.3077,-2.270058
1,40.8163,7.5897,-1.830748
1,39.7959,-1.8462,-3.334445
10,31.6327,1.8462,-0.030988
10,18.3673,5.9487,-1.771293
10,42.8571,7.5897,-1.806997
100,19.3878,-3.8974,-2.625572
1,30.6122,2.6667,-1.020210
10,23.4694,5.1282,-1.767069
100,12.2449,6.7692,-2.243164
100,33.6735,-5.1282,-2.532151
100,16.3265,-5.5385,-2.561423
10,15.3061,-1.8462,-1.529098
0.1,31.6327,-4.3077,-3.415108
0.01,39.7959,5.1282,-2.906996
10,17.3469,-4.7179,-1.770649
1,38.7755,-1.8462,-3.350092
0.01,11.2245,1.8462,-1.439152
0.1,29.5918,-1.4359,-3.123653
0.01,20.4082,-0.2051,-2.481742
100,27.5510,1.8462,-2.526967
1,13.2653,5.1282,-1.767068
10,29.5918,-4.7179,-1.770649
10,2.0408,1.0256,-1.751582
0.1,16.3265,7.1795,-0.432538
10,15.3061,0.2051,-2.996282
100,48.9796,-8.0000,-1.758637
0.1,21.4286,3.4872,-1.713059
0.01,27.5510,-5.5385,-2.390242
0.01,21.4286,5.5385,-2.561076
10,22.4490,5.5385,-1.753709
1,34.6939,3.8974,-0.572743
0.1,5.1020,-2.2564,-1.765806
0.1,30.6122,-4.3077,-3.138023
1,5.1020,-2.6667,-1.765627
100,39.7959,-8.0000,-1.758636
0.01,30.6122,-5.1282,-2.657493
100,14.2857,-8.0000,-1.758642
0.1,23.4694,-1.8462,-3.223222
10,4.0816,3.0769,-1.749336
0.1,15.3061,7.1795,0.577605
1,16.3265,-6.7692,-1.756214
0.01,4.0816,3.0769,-1.746426
10,21.4286,4.3077,-1.751330
0.01,14.2857,5.9487,-2.419564
0.1,26.5306,-0.2051,-2.917683
0.01,18.3673,-4.3077,-3.083541
0.01,46.9388,2.2564,-0.972881
10,50.0000,7.5897,-1.920352
10,17.3469,5.5385,-1.753709
0.01,27.5510,-8.0000,-1.751126
10,16.3265,3.8974,-1.767027
1,9.1837,-1.4359,-0.947395
100,39.7959,-2.2564,-2.467894
0.01,26.5306,-3.4872,-3.358741
100,5.1020,4.7179,-2.676895
1,13.2653,-7.5897,-1.765514
100,1.0204,-4.7179,-1.752950
10,48.9796,0.2051,-3.298663
1,21.4286,-7.1795,-1.771671
100,6.1224,1.4359,-2.545930
0.01,1.0204,0.2051,-0.866360
1,28.5714,7.5897,0.034166
0.1,38.7755,-2.2564,-2.646311
100,36.7347,-3.8974,-2.410531
1,50.0000,2.2564,-0.663780
0.1,43.8776,5.9487,-2.705726
100,47.9592,-6.3590,-2.377393
1,27.5510,-5.5385,-2.956284
0.1,1.0204,7.1795,-1.771675
0.1,8.1633,5.9487,-1.771293
0.1,40.8163,-5.9487,-2.096206
10,39.7959,5.1282,-1.731246
100,39.7959,-4.7179,-2.510215
1,39.7959,-2.6667,-3.328201
100,29.5918,-5.1282,-2.584697
1,28.5714,-4.7179,-2.971017
100,26.5306,-1.4359,-2.477378
0.1,1.0204,-2.6667,-1.765624
0.1,40.8163,6.3590,-2.773413
0.01,7.1429,-5.1282,-1.761566
0.1,13.2653,1.0256,0.095588
100,18.3673,-7.1795,-1.771672
0.01,19.3878,0.6154,-0.298053
1,18.3673,-3.8974,-1.977268
0.1,21.4286,-1.8462,-2.962619
1,24.4898,7.1795,0.048287
10,25.5102,-7.1795,-1.771670
0.01,40.8163,5.1282,-2.991510
0.1,32.6531,-1.8462,-3.239352
1,11.2245,3.8974,-1.767027
0.01,11.2245,-1.0256,-1.883034
0.1,2.0408,-3.4872,-1.769358
0.01,8.1633,-8.0000,-1.753925
100,48.9796,-3.0769,-2.477111
100,10.2041,5.1282,-2.702511
0.1,24.4898,0.6154,-0.056908
10,5.1020,-4.3077,-1.751330
100,27.5510,-2.2564,-2.559821
10,36.7347,1.8462,-0.962530
1,27.5510,-2.6667,-2.805674
1,21.4286,3.8974,-1.184777
10,30.6122,1.0256,-2.716697
0.01,0.0000,-4.3077,0.000074
0.01,20.4082,-6.3590,-1.760138
0.1,42.8571,2.6667,-0.999061
1,12.2449,6.3590,-1.766494
0.1,22.4490,-1.8462,-2.682118
0.1,6.1224,-6.3590,-1.766493
0.1,42.8571,-5.5385,-3.071397
0.01,3.0612,-5.1282,-1.758633
1,7.1429,5.5385,-1.753716
1,39.7959,2.6667,-0.908225
100,45.9184,5.9487,-2.428652
0.1,0.0000,3.4872,0.020567
100,2.0408,-6.3590,-1.679923
0.01,27.5510,-2.2564,-3.304579
0.1,8.1633,-3.4872,-1.769358
0.01,13.2653,-3.4872,-3.071314
1,40.8163,3.4872,-0.916692
100,7.1429,3.4872,-2.642404
1,34.6939,5.5385,-1.175027
0.01,38.7755,-1.8462,-3.106546
100,15.3061,-7.1795,-1.771671
1,1.0204,7.1795,-1.771675
1,5.1020,-5.5385,-1.753713
0.01,39.7959,-5.5385,-2.932941
1,48.9796,-1.0256,-3.180068
1,25.5102,4.3077,-1.840176
0.01,8.1633,-0.6154,-1.605954
0.01,44.8980,-3.8974,-2.646525
0.01,25.5102,-0.6154,-2.993735
1,40.8163,5.1282,-2.277501
0.1,37.7551,-1.8462,-2.528711
100,8.1633,3.4872,-2.708287
100,11.2245,-4.3077,-2.681415
100,44.8980,3.4872,-2.554679
10,35.7143,5.5385,-1.937207
0.01,47.9592,4.7179,-2.914754
0.1,12.2449,2.6667,-1.943503
10,8.1633,-3.4872,-1.769358
1,43.8776,6.3590,-1.451151
10,45.9184,-6.3590,-1.766493
0.1,28.5714,-4.7179,-2.988988
0.1,30.6122,-1.0256,-3.074802
0.1,5.1020,0.2051,-0.508718
100,25.5102,7.1795,-1.771670
10,48.9796,-6.7692,-1.756210
10,4.0816,1.8462,-1.748056
10,8.1633,7.1795,-1.771672
0.1,21.4286,5.5385,-0.538514
10,27.5510,-4.7179,-1.770649
0.1,13.2653,-7.5897,-1.765514
0.01,32.6531,1.4359,-1.083185
100,43.8776,7.1795,-2.375406
1,10.2041,2.2564,-1.242166
1,47.9592,0.6154,-0.060622
100,36.7347,-7.1795,-1.771670
0.01,6.1224,-3.4872,-1.178221
10,37.7551,-0.6154,-3.329523
0.1,19.3878,5.9487,-1.845365
0.1,29.5918,1.0256,-0.804841
0.1,35.7143,3.4872,-0.897206
0.1,21.4286,-2.2564,-3.355576
0.1,10.2041,6.3590,-1.766494
0.1,5.1020,-1.8462,-1.748270
0.01,4.0816,7.5897,-1.757707
100,34.6939,6.7692,-1.874513
1,2.0408,-1.0256,-1.751582
10,10.2041,4.3077,-1.751330
0.01,7.1429,5.9487,-1.765966
1,14.2857,-3.0769,-3.052102
10,22.4490,7.5897,-1.765512
0.1,30.6122,6.3590,-1.878499
0.01,36.7347,7.1795,-2.631548
0.01,38.7755,7.1795,-3.005265
1,25.5102,-5.5385,-3.179781
10,37.7551,0.2051,-2.040914
10,6.1224,0.6154,-1.538407
1,5.1020,3.4872,-1.769358
0.01,31.6327,6.3590,-2.888261
0.01,23.4694,6.7692,-2.981164
1,50.0000,7.5897,-2.353176
100,47.9592,5.1282,-2.529883
100,5.1020,8.0000,-1.758643
0.1,11.2245,5.5385,-1.753716
0.01,47.9592,6.7692,-2.880659
0.1,11.2245,2.2564,-1.726300
100,17.3469,-2.2564,-2.444411
100,29.5918,0.2051,-2.239586
100,30.6122,-0.2051,-2.298695
0.01,36.7347,-3.4872,-2.986795
0.01,12.2449,4.3077,-2.395118
100,33.6735,-5.5385,-2.490491
10,2.0408,-7.5897,-1.765514
1,25.5102,0.6154,-0.251860
0.01,29.5918,5.9487,-2.834472
1,42.8571,1.0256,-0.341954
10,11.2245,-7.5897,-1.765514
10,29.5918,-5.9487,-1.771293
100,42.8571,2.2564,-2.477405
10,4.0816,5.5385,-1.753713
0.01,41.8367,-2.6667,-2.930777
100,44.8980,-3.0769,-2.464524
0.01,33.6735,-5.1282,-3.124322
0.01,34.6939,7.5897,-2.802428
1,29.5918,-2.6667,-3.350223
10,18.3673,6.7692,-1.756213
100,24.4898,3.0769,-2.577130
100,4.0816,-2.2564,-2.611862
100,34.6939,3.4872,-2.610577
100,0.0000,1.8462,0.637505
10,7.1429,1.0256,-1.751582
0.01,36.7347,-1.0256,-2.981517
100,16.3265,1.4359,-2.597863
1,13.2653,-8.0000,-1.758642
0.01,9.1837,-0.2051,-1.034488
100,37.7551,3.4872,-2.604152
10,23.4694,-2.2564,-0.563152
0.01,37.7551,-5.5385,-2.903672
0.01,2.0408,2.6667,-1.751948
10,23.4694,5.5385,-1.753711
100,39.7959,-7.1795,-1.771670
0.1,15.3061,-1.0256,-3.208363
0.01,31.6327,-5.9487,-2.816617
0.01,10.2041,1.8462,-1.987991
100,48.9796,6.7692,-2.446042
100,37.7551,-4.7179,-2.515865
100,7.1429,4.3077,-2.673188
0.1,32.6531,-4.3077,-2.679333
0.1,44.8980,-8.0000,-2.394480
0.1,22.4490,-5.5385,-1.753709
100,40.8163,0.6154,-0.986468
0.01,43.8776,-0.2051,-2.975101
100,13.2653,5.5385,-2.494029
10,40.8163,2.2564,-0.861403
100,27.5510,2.6667,-2.572344
1,19.3878,-4.7179,-1.992788
0.1,35.7143,-2.6667,-2.844822
0.01,46.9388,-1.0256,-2.297374
0.1,33.6735,-3.8974,-2.302673
0.1,3.0612,7.5897,-1.765514
0.1,31.6327,2.2564,-0.630814
100,18.3673,-6.7692,-2.249879
0.01,23.4694,5.9487,-2.762673
10,37.7551,-6.7692,-1.756211
10,10.2041,-5.1282,-1.767067
100,9.1837,7.5897,-1.765513
0.1,17.3469,-4.3077,-2.910778
100,23.4694,1.4359,-2.503290
0.1,39.7959,1.8462,-0.855590
10,41.8367,-5.9487,-1.771292
100,36.7347,5.1282,-2.520339
10,34.6939,0.2051,-3.009544
0.1,47.9592,7.5897,-2.373456
1,26.5306,-1.0256,-3.264681
0.01,42.8571,-5.5385,-2.709985
100,40.8163,-0.6154,-0.621331
0.1,34.6939,3.0769,-1.041211
0.1,8.1633,-3.8974,-1.767027
0.1,23.4694,6.3590,-1.796772
10,50.0000,-8.0000,-1.758637
0.01,34.6939,2.2564,-1.023189
100,13.2653,3.8974,-2.589108
100,31.6327,4.3077,-2.536680
100,17.3469,3.0769,-2.518443
10,44.8980,5.9487,-1.425209
100,1.0204,-3.4872,-1.814961
100,9.1837,-1.8462,-2.549726
10,42.8571,1.4359,-0.697568
1,1.0204,6.7692,-1.756225
100,34.6939,4.3077,-2.610384
0.01,18.3673,2.6667,-1.564898
100,5.1020,-7.5897,-1.765516
100,35.7143,-0.2051,-0.938852
100,39.7959,0.2051,-1.875214
1,19.3878,2.2564,-0.227083
10,29.5918,-3.8974,-1.655096
0.1,40.8163,5.5385,-2.840710
10,3.0612,-5.5385,-1.753721
100,37.7551,-5.5385,-2.479231
10,35.7143,2.2564,-0.613021
0.1,29.5918,-0.6154,-3.159466
0.01,27.5510,-3.4872,-3.095350
1,47.9592,-1.4359,-3.046513
10,35.7143,-0.2051,-3.178012
1,42.8571,-3.0769,-3.294217
10,48.9796,8.0000,-2.106830
100,17.3469,-8.0000,-1.758639
0.01,37.7551,-3.4872,-3.378545
0.01,38.7755,-6.7692,-3.309437
10,26.5306,8.0000,-1.758636
1,17.3469,-3.0769,-3.184595
10,37.7551,4.3077,-1.142210
0.01,32.6531,3.0769,-0.223786
1,31.6327,-1.0256,-3.300687
0.01,8.1633,-5.5385,-1.750738
0.1,27.5510,5.1282,-2.097329
100,3.0612,6.7692,-1.755745
1,27.5510,1.8462,-0.198250
1,16.3265,8.0000,-1.758640
1,17.3469,5.1282,-1.781266
0.1,18.3673,5.9487,-1.781840
1,11.2245,-5.1282,-1.767067
0.1,19.3878,-1.8462,-3.273287
10,4.0816,2.6667,-1.765627
0.01,28.5714,-5.1282,-2.923227
0.1,29.5918,6.7692,-0.397316
100,10.2041,-1.8462,-2.493991
0.01,46.9388,-5.5385,-1.771634
1,27.5510,7.5897,0.601568
1,4.0816,5.5385,-1.753713
0.01,43.8776,-3.0769,-2.957407
0.01,28.5714,-0.2051,-2.824609
0.01,8.1633,5.9487,-1.765413
1,37.7551,-4.3077,-3.367601
0.01,17.3469,0.6154,-0.382399
10,5.1020,5.5385,-1.753713
100,2.0408,0.6154,-2.575805
0.1,34.6939,-4.7179,-3.179746
1,34.6939,-4.3077,-3.365031
10,9.1837,1.0256,-1.036459
1,0.0000,-2.2564,0.002842
10,14.2857,-6.3590,-1.766495
0.01,12.2449,-5.9487,-1.764373
0.01,7.1429,-1.4359,-0.710743
1,12.2449,-5.5385,-1.753716
0.1,48.9796,-5.9487,-3.273134
1,0.0000,-1.8462,0.002132
0.01,3.0612,-8.0000,-1.755085
0.01,27.5510,-1.8462,-3.001982
1,32.6531,2.2564,-0.914524
0.1,35.7143,-0.2051,-1.836513
0.1,8.1633,1.8462,-1.853291
100,15.3061,0.2051,-2.461851
0.01,38.7755,-8.0000,-3.214425
1,48.9796,3.0769,-0.842091
10,37.7551,1.0256,-2.955960
0.01,25.5102,2.2564,-2.117169
1,10.2041,-5.1282,-1.767067
10,38.7755,7.5897,-1.765512
1,33.6735,-1.8462,-3.205605
10,22.4490,0.2051,-3.185390
100,41.8367,-3.4872,-2.559231
0.1,45.9184,-1.4359,-2.954736
10,3.0612,0.6154,-1.747673
0.1,5.1020,-1.0256,-0.804128
10,43.8776,-1.4359,-2.566346
10,18.3673,5.5385,-1.753709
0.01,4.0816,-5.9487,-1.767857
1,5.1020,3.0769,-1.749336
1,37.7551,-3.4872,-1.598349
0.01,31.6327,7.1795,-2.976941
10,4.0816,-3.0769,-1.749336
10,5.1020,-1.4359,-1.759344
10,31.6327,-6.3590,-1.766494
0.1,20.4082,5.1282,-1.932188
1,8.1633,5.1282,-1.767069
0.1,29.5918,8.0000,1.693735
0.01,47.9592,-3.0769,-2.908265
100,21.4286,-1.8462,-2.524962
0.01,13.2653,-2.2564,-3.231310
100,41.8367,3.0769,-2.531217
0.1,7.1429,-6.7692,-1.756214
0.1,34.6939,-6.3590,-2.669221
0.1,43.8776,-1.4359,-3.205178
0.1,36.7347,-6.3590,-3.295418
0.1,11.2245,8.0000,-1.758643
0.01,25.5102,-6.7692,-1.750070
1,8.1633,-1.4359,-1.229765
0.1,10.2041,-5.5385,-1.753714
0.1,32.6531,5.9487,-2.446590
10,1.0204,-6.3590,-1.766498
10,25.5102,7.1795,-1.771670
0.1,18.3673,-5.5385,-1.753709
0.01,45.9184,-5.1282,-2.158881
1,28.5714,6.7692,-1.319269
10,47.9592,-1.8462,-3.310018
100,29.5918,6.7692,-1.870477
100,22.4490,-1.8462,-2.514611
0.01,35.7143,-5.9487,-2.321599
1,14.2857,-4.7179,-1.770649
0.01,15.3061,-5.5385,-1.751117
0.1,17.3469,-7.1795,-1.771671
1,9.1837,-3.0769,-1.749336
100,40.8163,5.1282,-2.561461
1,27.5510,3.4872,-0.698894
1,23.4694,5.9487,-1.378563
1,25.5102,3.8974,-0.926498
100,44.8980,1.8462,-2.360556
1,23.4694,2.2564,-0.355938
0.01,8.1633,7.5897,-1.760110
0.1,19.3878,1.8462,-1.232372
0.01,33.6735,-1.4359,-2.541009
100,8.1633,7.1795,-1.771672
1,40.8163,-1.8462,-3.146661
