gamma21,f_avg,delta1,log10_nmse
1,45.9184,-3.8974,-3.093244
1,25.5102,-2.6667,-3.358682
100,4.0816,3.8974,-2.675195
10,31.6327,-3.8974,-1.259265
10,14.2857,3.8974,-1.767027
0.1,31.6327,-3.8974,-3.217993
1,40.8163,-8.0000,-3.360010
0.01,10.2041,0.2051,-0.959837
10,44.8980,-4.7179,-1.334954
100,3.0612,6.3590,-1.901520
0.01,31.6327,-3.4872,-2.983439
0.1,34.6939,-2.2564,-3.282085
1,1.0204,1.4359,-1.759344
0.1,36.7347,-2.2564,-3.163905
100,20.4082,-3.0769,-2.529244
0.1,42.8571,-1.0256,-3.063299
100,15.3061,-5.1282,-2.630579
0.1,1.0204,5.5385,-1.753719
10,26.5306,-0.6154,-3.261035
0.1,12.2449,5.5385,-1.753716
0.01,17.3469,-7.5897,-1.760072
100,30.6122,-5.9487,-2.532960
1,45.9184,-6.3590,-3.331039
0.1,34.6939,-4.3077,-2.628518
100,27.5510,-6.7692,-2.279203
1,15.3061,6.7692,-1.756216
1,1.0204,-8.0000,-1.758657
0.01,38.7755,-2.6667,-2.809937
0.01,22.4490,-4.7179,-2.336792
10,12.2449,-0.2051,-0.347262
0.1,28.5714,-2.6667,-3.097669
0.01,8.1633,6.7692,-1.752111
10,20.4082,0.6154,-3.057927
100,1.0204,-7.5897,-1.765517
0.01,4.0816,-2.6667,-1.863055
1,42.8571,-7.5897,-2.866169
0.1,12.2449,-6.3590,-1.766494
1,14.2857,2.6667,-0.318647
0.1,45.9184,-0.6154,-3.389515
0.1,12.2449,3.0769,-2.000531
10,0.0000,0.6154,-0.000760
100,20.4082,1.8462,-2.551404
0.1,18.3673,7.5897,0.249294
100,12.2449,-6.3590,-2.340243
0.01,0.0000,0.6154,0.000159
100,29.5918,1.8462,-2.454321
10,24.4898,0.2051,-2.958434
0.01,11.2245,-2.6667,-3.240074
0.01,5.1020,-3.0769,-1.403599
10,34.6939,4.7179,-1.552603
0.01,37.7551,-5.1282,-3.230498
0.01,33.6735,-6.7692,-2.691578
0.01,43.8776,-3.4872,-2.909987
0.1,45.9184,-3.4872,-2.928047
1,24.4898,-0.2051,-3.341588
100,27.5510,7.5897,-1.765512
0.01,35.7143,-5.5385,-3.329508
10,36.7347,-6.3590,-1.766494
10,23.4694,-3.8974,-1.767027
0.01,36.7347,-5.5385,-2.883409
1,20.4082,5.5385,-1.659723
10,0.0000,-6.3590,0.000124
10,24.4898,-3.4872,-1.769358
0.1,12.2449,-5.5385,-1.753716
1,15.3061,-2.6667,-3.077189
10,27.5510,-3.4872,-2.010488
0.1,44.8980,-5.1282,-3.381111
0.1,4.0816,6.3590,-1.766495
10,44.8980,-2.2564,-3.354416
0.01,24.4898,-1.4359,-3.049174
0.1,44.8980,-6.7692,-2.693490
1,35.7143,-6.7692,-3.188124
0.01,50.0000,-4.7179,-2.401701
100,0.0000,6.3590,1.672009
1,21.4286,-2.6667,-2.284446
10,37.7551,-4.7179,-1.532790
0.01,27.5510,-2.6667,-2.518226
0.01,14.2857,3.4872,-2.184895
0.01,48.9796,-4.3077,-2.810615
0.01,47.9592,-4.3077,-3.291323
1,29.5918,-3.8974,-3.073147
0.01,13.2653,-1.0256,-3.324387
0.1,18.3673,-6.7692,-1.756213
10,3.0612,-5.1282,-1.767068
100,46.9388,-1.0256,-2.344206
0.01,45.9184,-6.3590,-1.677638
0.01,4.0816,0.2051,-1.073977
1,12.2449,-4.7179,-1.770649
1,9.1837,3.0769,-1.749336
1,35.7143,-7.1795,-3.303763
1,3.0612,-4.7179,-1.770649
0.01,14.2857,-6.3590,-1.759616
10,18.3673,-5.9487,-1.771293
10,23.4694,5.9487,-1.771293
1,31.6327,7.5897,-1.694157
10,11.2245,-3.4872,-1.769358
10,43.8776,-5.1282,-1.361275
10,34.6939,7.5897,-1.765512
100,24.4898,-6.3590,-2.510832
0.1,18.3673,-0.6154,-3.091263
1,20.4082,7.5897,-2.319930
10,2.0408,-0.2051,-1.706482
10,8.1633,5.5385,-1.753715
100,14.2857,-3.4872,-2.489602
10,10.2041,0.2051,-0.151192
0.01,5.1020,0.2051,-0.384211
0.1,7.1429,1.4359,-1.671221
