gamma21,f_avg,delta1,log10_nmse
1.0,21.0204,-1.4359,-2.367419
1.4,25.1020,-0.6154,-3.354517
0.6,14.0816,-2.2564,-3.206747
1.4,15.3061,-7.5897,-1.778968
1.4,17.7551,8.0000,-1.772067
2.2,21.0204,-4.3077,-3.372121
1.8,24.6939,-2.2564,-3.356649
2.2,24.6939,-4.7179,-3.369506
1.8,17.7551,-8.0000,-1.772067
2.2,23.8776,-4.3077,-3.367695
0.6,15.7143,5.9487,-1.175905
0.6,20.2041,-8.0000,-1.772066
0.2,15.7143,-0.6154,-2.511852
2.2,28.7755,-2.6667,-3.369063
1.0,30.0000,-8.0000,-1.772063
1.0,19.7959,-1.4359,-2.609300
0.2,10.8163,7.5897,-1.778968
1.8,13.2653,8.0000,-1.772071
1.8,19.3878,6.7692,-1.807397
0.6,14.4898,-3.0769,-2.816279
1.0,10.0000,8.0000,-1.772071
0.2,16.1224,-4.7179,-1.783809
1.8,22.6531,-4.3077,-3.359997
1.4,18.9796,6.7692,-2.013575
1.4,16.5306,5.5385,-0.177458
1.8,23.8776,-3.8974,-3.346025
0.6,22.6531,-0.2051,-3.127558
0.6,16.1224,-2.6667,-2.412639
0.2,14.4898,-2.2564,-3.394106
2.2,28.7755,-4.3077,-3.367904
2.2,25.9184,-4.7179,-3.373326
1.4,22.6531,-3.0769,-3.041407
0.6,23.0612,-0.6154,-2.655792
1.4,11.2245,-1.4359,-0.702199
1.0,18.5714,-3.8974,-2.310269
2.2,29.5918,-6.3590,-3.386355
1.4,26.7347,-2.2564,-3.361019
1.0,25.9184,-0.6154,-3.171019
0.6,16.9388,-3.0769,-2.089467
1.4,24.2857,-3.8974,-2.922137
1.0,21.4286,-4.3077,-3.191202
1.4,26.7347,-3.0769,-3.370218
1.0,25.5102,-1.4359,-3.113535
2.2,10.8163,2.2564,-1.883737
0.6,11.2245,-1.0256,-3.274518
2.2,30.0000,-5.9487,-3.382105
0.6,18.9796,7.1795,-2.407812
1.0,27.5510,-1.8462,-2.759161
2.2,21.0204,0.2051,-2.434107
1.0,25.1020,-2.2564,-3.304499
1.4,23.4694,-4.7179,-3.359780
1.0,18.1633,6.3590,-1.305889
0.6,10.4082,-4.7179,-1.783809
0.6,23.4694,-2.2564,-3.344956
1.0,21.0204,-4.7179,-3.258862
1.4,23.8776,-4.7179,-3.371419
2.2,25.1020,7.5897,-1.847407
0.6,10.8163,-4.7179,-1.783809
1.8,21.8367,7.1795,-1.742340
1.4,30.0000,-2.6667,-3.200802
1.0,19.7959,-4.7179,-2.971667
1.0,23.4694,-5.5385,-3.374002
1.0,29.1837,-2.2564,-3.130101
0.2,15.3061,-4.7179,-1.783809
1.4,27.9592,-3.8974,-3.330501
1.0,13.6735,3.8974,-1.705670
1.8,28.7755,-5.5385,-3.373601
1.8,10.8163,2.2564,-1.916922
1.4,15.7143,7.1795,-1.784743
2.2,15.7143,-4.7179,-1.783809
1.4,18.9796,6.3590,-1.748282
1.4,20.2041,6.7692,-1.233252
1.8,12.4490,-5.1282,-1.780471
0.2,25.5102,-0.2051,-3.217508
1.0,27.9592,-3.4872,-3.345809
1.8,14.4898,6.3590,-1.779922
