KAPPA,F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
-9.0000,0.0000,-8.0000,-13.0000,1.053930e+00,0.0228,0,0,6.044401
-9.0000,0.0000,-7.6310,-12.8155,1.005875e+00,0.0025,0,0,6.044457
-9.0000,0.0000,-7.2620,-12.6310,9.989101e-01,-0.0005,0,0,6.044500
-9.0000,0.0000,-6.8930,-12.4465,1.038425e+00,0.0164,0,0,6.044578
-9.0000,0.0000,-6.5240,-12.2620,9.784210e-01,-0.0095,0,0,6.044654
-9.0000,0.0000,-6.1550,-12.0775,1.006311e+00,0.0027,0,0,6.044683
-9.0000,0.0000,-5.7860,-11.8930,1.025726e+00,0.0110,0,0,6.044771
-9.0000,0.0000,-5.4170,-11.7085,1.012413e+00,0.0054,0,0,6.044808
-9.0000,0.0000,-5.0480,-11.5240,1.016444e+00,0.0071,0,0,6.044875
-9.0000,0.0000,-4.6790,-11.3395,1.003858e+00,0.0017,0,0,6.044929
-9.0000,0.0000,-4.3100,-11.1550,1.098684e+00,0.0409,0,0,6.044975
-9.0000,0.0000,-3.9410,-10.9705,1.020344e+00,0.0087,0,0,6.045041
-9.0000,0.0000,-3.5720,-10.7860,1.062788e+00,0.0264,0,0,6.045072
-9.0000,0.0000,-3.2030,-10.6015,9.861100e-01,-0.0061,0,0,6.045144
-9.0000,0.0000,-2.8340,-10.4170,1.239845e+00,0.0934,0,0,6.045163
-9.0000,0.0000,-2.4650,-10.2325,9.967620e-01,-0.0014,0,0,6.045240
-9.0000,0.0000,-2.0960,-10.0480,1.000317e+00,0.0001,0,0,6.045251
-9.0000,0.0000,-1.7270,-9.8635,1.004649e+00,0.0020,0,0,6.045330
-9.0000,0.0000,-1.3580,-9.6790,1.020485e+00,0.0088,0,0,6.045334
-9.0000,0.0000,-0.9890,-9.4945,1.035928e+00,0.0153,0,0,6.045411
-9.0000,0.0000,-0.6200,-9.3100,7.711876e+01,1.8872,0,0,6.045409
-9.0000,0.0000,-0.2510,-9.1255,9.997521e-01,-0.0001,0,0,6.045486
-9.0000,0.0000,0.1180,-8.9410,1.828539e+00,0.2621,0,0,6.045480
-9.0000,0.0000,0.4870,-8.7565,1.009789e+00,0.0042,0,0,6.045553
-9.0000,0.0000,0.8560,-8.5720,1.015583e+00,0.0067,0,0,6.045540
-9.0000,0.0000,1.2250,-8.3875,1.000727e+00,0.0003,0,0,6.045609
-9.0000,0.0000,1.5940,-8.2030,1.001830e+00,0.0008,0,0,6.045593
-9.0000,0.0000,1.9630,-8.0185,1.008769e+00,0.0038,0,0,6.045658
-9.0000,0.0000,2.3320,-7.8340,1.053402e+00,0.0226,0,0,6.045635
-9.0000,0.0000,2.7010,-7.6495,1.002584e+00,0.0011,0,0,6.045695
-9.0000,0.0000,3.0700,-7.4650,1.022248e+00,0.0096,0,0,6.045668
-9.0000,0.0000,3.4390,-7.2805,1.002892e+00,0.0013,0,0,6.045715
-9.0000,0.0000,3.8080,-7.0960,1.011845e+00,0.0051,0,0,6.045702
-9.0000,0.0000,4.1770,-6.9115,1.001116e+00,0.0005,0,0,6.045676
-9.0000,0.0000,4.5460,-6.7270,1.005519e+00,0.0024,0,0,6.045672
-9.0000,0.0000,4.9150,-6.5425,1.003593e+00,0.0016,0,0,6.045569
-9.0000,0.0000,5.2840,-6.3580,1.002240e+00,0.0010,0,0,6.045305
-9.0000,0.0000,5.6530,-6.1735,1.002576e+00,0.0011,0,0,6.044885
-9.0000,0.0000,6.0220,-5.9890,1.002789e+00,0.0012,0,0,6.044628
-9.0000,0.0000,6.3910,-5.8045,9.996102e-01,-0.0002,0,0,6.043996
-9.0000,0.0000,6.7600,-5.6200,1.002228e+00,0.0010,0,0,6.043382
-9.0000,0.0000,7.1290,-5.4355,1.002590e+00,0.0011,0,0,6.042926
-9.0000,0.0000,7.4980,-5.2510,1.101404e+00,0.0419,0,0,6.042615
-9.0000,0.0000,7.8670,-5.0665,1.079979e+00,0.0334,0,0,6.042407
-9.0000,0.3690,-8.0000,-13.0000,2.047905e-02,-1.6887,0,0,6.041264
-9.0000,0.3690,-7.6310,-12.8155,2.078052e-02,-1.6823,0,0,6.043859
-9.0000,0.3690,-7.2620,-12.6310,2.029567e-02,-1.6926,0,0,6.048467
-9.0000,0.3690,-6.8930,-12.4465,2.101260e-02,-1.6775,0,0,6.044625
-9.0000,0.3690,-6.5240,-12.2620,2.030510e-02,-1.6924,0,0,6.040241
-9.0000,0.3690,-6.1550,-12.0775,2.067448e-02,-1.6846,0,0,6.045928
-9.0000,0.3690,-5.7860,-11.8930,2.067842e-02,-1.6845,0,0,6.050081
-9.0000,0.3690,-5.4170,-11.7085,2.033552e-02,-1.6917,0,0,6.042480
-9.0000,0.3690,-5.0480,-11.5240,2.102251e-02,-1.6773,0,0,6.039444
-9.0000,0.3690,-4.6790,-11.3395,2.035399e-02,-1.6914,0,0,6.049627
-9.0000,0.3690,-4.3100,-11.1550,2.081987e-02,-1.6815,0,0,6.051264
-9.0000,0.3690,-3.9410,-10.9705,2.052477e-02,-1.6877,0,0,6.038379
-9.0000,0.3690,-3.5720,-10.7860,2.053270e-02,-1.6876,0,0,6.039827
-9.0000,0.3690,-3.2030,-10.6015,2.096352e-02,-1.6785,0,0,6.056312
-9.0000,0.3690,-2.8340,-10.4170,2.039571e-02,-1.6905,0,0,6.050893
-9.0000,0.3690,-2.4650,-10.2325,2.101257e-02,-1.6775,0,0,6.030568
-9.0000,0.3690,-2.0960,-10.0480,2.070361e-02,-1.6840,0,0,6.044625
-9.0000,0.3690,-1.7270,-9.8635,2.075488e-02,-1.6829,0,0,6.070401
-9.0000,0.3690,-1.3580,-9.6790,2.090864e-02,-1.6797,0,0,6.044045
-9.0000,0.3690,-0.9890,-9.4945,2.101771e-02,-1.6774,0,0,6.016389
-9.0000,0.3690,-0.6200,-9.3100,2.151664e-02,-1.6672,0,0,6.071449
-9.0000,0.3690,-0.2510,-9.1255,4.044751e-02,-1.3931,0,0,6.093586
-9.0000,0.3690,0.1180,-8.9410,3.915847e-02,-1.4072,0,0,6.003557
-9.0000,0.3690,0.4870,-8.7565,2.277960e-02,-1.6425,0,0,6.059382
-9.0000,0.3690,0.8560,-8.5720,2.105839e-02,-1.6766,0,0,6.090305
-9.0000,0.3690,1.2250,-8.3875,2.104312e-02,-1.6769,0,0,6.016241
-9.0000,0.3690,1.5940,-8.2030,2.061639e-02,-1.6858,0,0,6.039363
-9.0000,0.3690,1.9630,-8.0185,2.097876e-02,-1.6782,0,0,6.079199
-9.0000,0.3690,2.3320,-7.8340,2.070700e-02,-1.6839,0,0,6.043251
-9.0000,0.3690,2.7010,-7.6495,2.055743e-02,-1.6870,0,0,6.022574
-9.0000,0.3690,3.0700,-7.4650,2.089670e-02,-1.6799,0,0,6.058022
-9.0000,0.3690,3.4390,-7.2805,2.041360e-02,-1.6901,0,0,6.065883
-9.0000,0.3690,3.8080,-7.0960,2.098983e-02,-1.6780,0,0,6.031609
-9.0000,0.3690,4.1770,-6.9115,2.040149e-02,-1.6903,0,0,6.032785
-9.0000,0.3690,4.5460,-6.7270,2.064561e-02,-1.6852,0,0,6.063270
-9.0000,0.3690,4.9150,-6.5425,2.076120e-02,-1.6827,0,0,6.055496
-9.0000,0.3690,5.2840,-6.3580,2.030384e-02,-1.6924,0,0,6.026898
-9.0000,0.3690,5.6530,-6.1735,2.102879e-02,-1.6772,0,0,6.039546
-9.0000,0.3690,6.0220,-5.9890,2.032962e-02,-1.6919,0,0,6.063654
-9.0000,0.3690,6.3910,-5.8045,2.071482e-02,-1.6837,0,0,6.045320
-9.0000,0.3690,6.7600,-5.6200,2.054700e-02,-1.6873,0,0,6.023660
-9.0000,0.3690,7.1290,-5.4355,2.039184e-02,-1.6905,0,0,6.045239
-9.0000,0.3690,7.4980,-5.2510,2.099199e-02,-1.6779,0,0,6.062593
-9.0000,0.3690,7.8670,-5.0665,2.024334e-02,-1.6937,0,0,6.036657
-9.0000,0.7380,-8.0000,-13.0000,2.047939e-02,-1.6887,0,0,6.038288
-9.0000,0.7380,-7.6310,-12.8155,2.078151e-02,-1.6823,0,0,6.043224
-9.0000,0.7380,-7.2620,-12.6310,2.029591e-02,-1.6926,0,0,6.052563
-9.0000,0.7380,-6.8930,-12.4465,2.101395e-02,-1.6775,0,0,6.045155
-9.0000,0.7380,-6.5240,-12.2620,2.030505e-02,-1.6924,0,0,6.036029
-9.0000,0.7380,-6.1550,-12.0775,2.067425e-02,-1.6846,0,0,6.047016
-9.0000,0.7380,-5.7860,-11.8930,2.067757e-02,-1.6845,0,0,6.055905
-9.0000,0.7380,-5.4170,-11.7085,2.033566e-02,-1.6917,0,0,6.041173
-9.0000,0.7380,-5.0480,-11.5240,2.102270e-02,-1.6773,0,0,6.034091
-9.0000,0.7380,-4.6790,-11.3395,2.035393e-02,-1.6914,0,0,6.053806
-9.0000,0.7380,-4.3100,-11.1550,2.082006e-02,-1.6815,0,0,6.059353
-9.0000,0.7380,-3.9410,-10.9705,2.052458e-02,-1.6877,0,0,6.033906
-9.0000,0.7380,-3.5720,-10.7860,2.053278e-02,-1.6876,0,0,6.033350
-9.0000,0.7380,-3.2030,-10.6015,2.096272e-02,-1.6786,0,0,6.066383
-9.0000,0.7380,-2.8340,-10.4170,2.039579e-02,-1.6905,0,0,6.063867
-9.0000,0.7380,-2.4650,-10.2325,2.101269e-02,-1.6775,0,0,6.021264
-9.0000,0.7380,-2.0960,-10.0480,2.070357e-02,-1.6840,0,0,6.033465
-9.0000,0.7380,-1.7270,-9.8635,2.075485e-02,-1.6829,0,0,6.093014
-9.0000,0.7380,-1.3580,-9.6790,2.090863e-02,-1.6797,0,0,6.089695
-9.0000,0.7380,-0.9890,-9.4945,2.102102e-02,-1.6773,0,0,6.009809
-9.0000,0.7380,-0.6200,-9.3100,2.152664e-02,-1.6670,0,0,6.000912
-9.0000,0.7380,-0.2510,-9.1255,3.884702e-02,-1.4106,0,0,6.120445
-9.0000,0.7380,0.1180,-8.9410,4.133420e-02,-1.3837,0,0,6.170821
-9.0000,0.7380,0.4870,-8.7565,2.516295e-02,-1.5992,0,0,5.973968
-9.0000,0.7380,0.8560,-8.5720,2.105839e-02,-1.6766,0,0,6.136174
-9.0000,0.7380,1.2250,-8.3875,2.104313e-02,-1.6769,0,0,6.060761
-9.0000,0.7380,1.5940,-8.2030,2.061641e-02,-1.6858,0,0,6.001993
-9.0000,0.7380,1.9630,-8.0185,2.097869e-02,-1.6782,0,0,6.106605
-9.0000,0.7380,2.3320,-7.8340,2.070695e-02,-1.6839,0,0,6.068515
-9.0000,0.7380,2.7010,-7.6495,2.055749e-02,-1.6870,0,0,5.999626
-9.0000,0.7380,3.0700,-7.4650,2.089653e-02,-1.6799,0,0,6.060668
-9.0000,0.7380,3.4390,-7.2805,2.041373e-02,-1.6901,0,0,6.093287
-9.0000,0.7380,3.8080,-7.0960,2.099014e-02,-1.6780,0,0,6.026041
-9.0000,0.7380,4.1770,-6.9115,2.040111e-02,-1.6903,0,0,6.016961
-9.0000,0.7380,4.5460,-6.7270,2.064542e-02,-1.6852,0,0,6.078572
-9.0000,0.7380,4.9150,-6.5425,2.076155e-02,-1.6827,0,0,6.071600
-9.0000,0.7380,5.2840,-6.3580,2.030354e-02,-1.6924,0,0,6.011752
-9.0000,0.7380,5.6530,-6.1735,2.102816e-02,-1.6772,0,0,6.032172
-9.0000,0.7380,6.0220,-5.9890,2.032972e-02,-1.6919,0,0,6.083265
-9.0000,0.7380,6.3910,-5.8045,2.071457e-02,-1.6837,0,0,6.051750
-9.0000,0.7380,6.7600,-5.6200,2.054567e-02,-1.6873,0,0,6.005177
-9.0000,0.7380,7.1290,-5.4355,2.039182e-02,-1.6905,0,0,6.045806
-9.0000,0.7380,7.4980,-5.2510,2.099252e-02,-1.6779,0,0,6.084051
-9.0000,0.7380,7.8670,-5.0665,2.024308e-02,-1.6937,0,0,6.034480
-9.0000,1.1070,-8.0000,-13.0000,2.047915e-02,-1.6887,0,0,6.035615
-9.0000,1.1070,-7.6310,-12.8155,2.078094e-02,-1.6823,0,0,6.042386
-9.0000,1.1070,-7.2620,-12.6310,2.029598e-02,-1.6926,0,0,6.056764
-9.0000,1.1070,-6.8930,-12.4465,2.101413e-02,-1.6775,0,0,6.046505
-9.0000,1.1070,-6.5240,-12.2620,2.030493e-02,-1.6924,0,0,6.032071
-9.0000,1.1070,-6.1550,-12.0775,2.067382e-02,-1.6846,0,0,6.047497
-9.0000,1.1070,-5.7860,-11.8930,2.067788e-02,-1.6845,0,0,6.062287
-9.0000,1.1070,-5.4170,-11.7085,2.033551e-02,-1.6917,0,0,6.041593
-9.0000,1.1070,-5.0480,-11.5240,2.102285e-02,-1.6773,0,0,6.028491
-9.0000,1.1070,-4.6790,-11.3395,2.035364e-02,-1.6914,0,0,6.056432
-9.0000,1.1070,-4.3100,-11.1550,2.081995e-02,-1.6815,0,0,6.069710
-9.0000,1.1070,-3.9410,-10.9705,2.052475e-02,-1.6877,0,0,6.033765
-9.0000,1.1070,-3.5720,-10.7860,2.053264e-02,-1.6876,0,0,6.024226
-9.0000,1.1070,-3.2030,-10.6015,2.096263e-02,-1.6786,0,0,6.071210
-9.0000,1.1070,-2.8340,-10.4170,2.039582e-02,-1.6905,0,0,6.086882
-9.0000,1.1070,-2.4650,-10.2325,2.101275e-02,-1.6775,0,0,6.028336
-9.0000,1.1070,-2.0960,-10.0480,2.070361e-02,-1.6840,0,0,6.007499
-9.0000,1.1070,-1.7270,-9.8635,2.075483e-02,-1.6829,0,0,6.076105
-9.0000,1.1070,-1.3580,-9.6790,2.090863e-02,-1.6797,0,0,6.152601
-9.0000,1.1070,-0.9890,-9.4945,2.102102e-02,-1.6773,0,0,6.174391
-9.0000,1.1070,-0.6200,-9.3100,1.891914e-02,-1.7231,0,0,6.153161
-9.0000,1.1070,-0.2510,-9.1255,3.965074e-02,-1.4017,0,0,6.062802
-9.0000,1.1070,0.1180,-8.9410,5.431546e-02,-1.2651,0,0,5.995057
-9.0000,1.1070,0.4870,-8.7565,2.304028e-02,-1.6375,0,0,6.273579
-9.0000,1.1070,0.8560,-8.5720,2.105838e-02,-1.6766,0,0,5.969857
-9.0000,1.1070,1.2250,-8.3875,2.104313e-02,-1.6769,0,0,6.203488
-9.0000,1.1070,1.5940,-8.2030,2.061641e-02,-1.6858,0,0,5.983985
-9.0000,1.1070,1.9630,-8.0185,2.097864e-02,-1.6782,0,0,6.077924
-9.0000,1.1070,2.3320,-7.8340,2.070693e-02,-1.6839,0,0,6.133991
-9.0000,1.1070,2.7010,-7.6495,2.055749e-02,-1.6870,0,0,5.991343
-9.0000,1.1070,3.0700,-7.4650,2.089637e-02,-1.6799,0,0,6.040894
-9.0000,1.1070,3.4390,-7.2805,2.041375e-02,-1.6901,0,0,6.124740
-9.0000,1.1070,3.8080,-7.0960,2.099002e-02,-1.6780,0,0,6.038802
-9.0000,1.1070,4.1770,-6.9115,2.040141e-02,-1.6903,0,0,5.995940
-9.0000,1.1070,4.5460,-6.7270,2.064548e-02,-1.6852,0,0,6.085835
-9.0000,1.1070,4.9150,-6.5425,2.076117e-02,-1.6827,0,0,6.096830
-9.0000,1.1070,5.2840,-6.3580,2.030380e-02,-1.6924,0,0,6.003001
-9.0000,1.1070,5.6530,-6.1735,2.102740e-02,-1.6772,0,0,6.019184
-9.0000,1.1070,6.0220,-5.9890,2.032978e-02,-1.6919,0,0,6.101044
-9.0000,1.1070,6.3910,-5.8045,2.071482e-02,-1.6837,0,0,6.065966
-9.0000,1.1070,6.7600,-5.6200,2.054646e-02,-1.6873,0,0,5.988524
-9.0000,1.1070,7.1290,-5.4355,2.039151e-02,-1.6906,0,0,6.041612
-9.0000,1.1070,7.4980,-5.2510,2.099257e-02,-1.6779,0,0,6.106518
-9.0000,1.1070,7.8670,-5.0665,2.024251e-02,-1.6937,0,0,6.038652
-9.0000,1.4760,-8.0000,-13.0000,2.047939e-02,-1.6887,0,0,6.033243
-9.0000,1.4760,-7.6310,-12.8155,2.078111e-02,-1.6823,0,0,6.041147
-9.0000,1.4760,-7.2620,-12.6310,2.029588e-02,-1.6926,0,0,6.060949
-9.0000,1.4760,-6.8930,-12.4465,2.101411e-02,-1.6775,0,0,6.049006
-9.0000,1.4760,-6.5240,-12.2620,2.030468e-02,-1.6924,0,0,6.028400
-9.0000,1.4760,-6.1550,-12.0775,2.067362e-02,-1.6846,0,0,6.046921
-9.0000,1.4760,-5.7860,-11.8930,2.067760e-02,-1.6845,0,0,6.069124
-9.0000,1.4760,-5.4170,-11.7085,2.033574e-02,-1.6917,0,0,6.044655
-9.0000,1.4760,-5.0480,-11.5240,2.102288e-02,-1.6773,0,0,6.022734
-9.0000,1.4760,-4.6790,-11.3395,2.035375e-02,-1.6914,0,0,6.056091
-9.0000,1.4760,-4.3100,-11.1550,2.081999e-02,-1.6815,0,0,6.081984
-9.0000,1.4760,-3.9410,-10.9705,2.052476e-02,-1.6877,0,0,6.040917
-9.0000,1.4760,-3.5720,-10.7860,2.053252e-02,-1.6876,0,0,6.013279
-9.0000,1.4760,-3.2030,-10.6015,2.096284e-02,-1.6785,0,0,6.064878
-9.0000,1.4760,-2.8340,-10.4170,2.039582e-02,-1.6905,0,0,6.113082
-9.0000,1.4760,-2.4650,-10.2325,2.101276e-02,-1.6775,0,0,6.070405
-9.0000,1.4760,-2.0960,-10.0480,2.070363e-02,-1.6840,0,0,5.998343
-9.0000,1.4760,-1.7270,-9.8635,2.075482e-02,-1.6829,0,0,6.001845
-9.0000,1.4760,-1.3580,-9.6790,2.090863e-02,-1.6797,0,0,6.052539
-9.0000,1.4760,-0.9890,-9.4945,2.102102e-02,-1.6773,0,0,6.080358
-9.0000,1.4760,-0.6200,-9.3100,2.070528e-02,-1.6839,0,0,6.047011
-9.0000,1.4760,-0.2510,-9.1255,2.154491e-02,-1.6667,0,0,6.025979
-9.0000,1.4760,0.1180,-8.9410,1.431374e-02,-1.8442,0,0,6.259941
-9.0000,1.4760,0.4870,-8.7565,2.159515e-02,-1.6656,0,0,6.022400
-9.0000,1.4760,0.8560,-8.5720,2.105838e-02,-1.6766,0,0,6.322607
-9.0000,1.4760,1.2250,-8.3875,2.104313e-02,-1.6769,0,0,6.024914
-9.0000,1.4760,1.5940,-8.2030,2.061642e-02,-1.6858,0,0,6.190509
-9.0000,1.4760,1.9630,-8.0185,2.097861e-02,-1.6782,0,0,5.976598
-9.0000,1.4760,2.3320,-7.8340,2.070694e-02,-1.6839,0,0,6.179962
-9.0000,1.4760,2.7010,-7.6495,2.055747e-02,-1.6870,0,0,6.044023
-9.0000,1.4760,3.0700,-7.4650,2.089632e-02,-1.6799,0,0,5.995097
-9.0000,1.4760,3.4390,-7.2805,2.041371e-02,-1.6901,0,0,6.141371
-9.0000,1.4760,3.8080,-7.0960,2.098997e-02,-1.6780,0,0,6.081214
-9.0000,1.4760,4.1770,-6.9115,2.040118e-02,-1.6903,0,0,5.974276
-9.0000,1.4760,4.5460,-6.7270,2.064558e-02,-1.6852,0,0,6.077551
-9.0000,1.4760,4.9150,-6.5425,2.076139e-02,-1.6827,0,0,6.130069
-9.0000,1.4760,5.2840,-6.3580,2.030380e-02,-1.6924,0,0,6.006801
-9.0000,1.4760,5.6530,-6.1735,2.102834e-02,-1.6772,0,0,5.998739
-9.0000,1.4760,6.0220,-5.9890,2.032962e-02,-1.6919,0,0,6.112948
-9.0000,1.4760,6.3910,-5.8045,2.071458e-02,-1.6837,0,0,6.090696
-9.0000,1.4760,6.7600,-5.6200,2.054633e-02,-1.6873,0,0,5.975878
-9.0000,1.4760,7.1290,-5.4355,2.039163e-02,-1.6905,0,0,6.030122
-9.0000,1.4760,7.4980,-5.2510,2.099234e-02,-1.6779,0,0,6.128224
-9.0000,1.4760,7.8670,-5.0665,2.024281e-02,-1.6937,0,0,6.052255
-9.0000,1.8450,-8.0000,-13.0000,2.047859e-02,-1.6887,0,0,6.031386
-9.0000,1.8450,-7.6310,-12.8155,2.078133e-02,-1.6823,0,0,6.039386
-9.0000,1.8450,-7.2620,-12.6310,2.029567e-02,-1.6926,0,0,6.064956
-9.0000,1.8450,-6.8930,-12.4465,2.101361e-02,-1.6775,0,0,6.052919
-9.0000,1.8450,-6.5240,-12.2620,2.030473e-02,-1.6924,0,0,6.025273
-9.0000,1.8450,-6.1550,-12.0775,2.067357e-02,-1.6846,0,0,6.044895
-9.0000,1.8450,-5.7860,-11.8930,2.067775e-02,-1.6845,0,0,6.075890
-9.0000,1.8450,-5.4170,-11.7085,2.033576e-02,-1.6917,0,0,6.051083
-9.0000,1.8450,-5.0480,-11.5240,2.102290e-02,-1.6773,0,0,6.017544
-9.0000,1.8450,-4.6790,-11.3395,2.035392e-02,-1.6914,0,0,6.051555
-9.0000,1.8450,-4.3100,-11.1550,2.081998e-02,-1.6815,0,0,6.093993
-9.0000,1.8450,-3.9410,-10.9705,2.052471e-02,-1.6877,0,0,6.058481
-9.0000,1.8450,-3.5720,-10.7860,2.053247e-02,-1.6876,0,0,6.005748
-9.0000,1.8450,-3.2030,-10.6015,2.096290e-02,-1.6785,0,0,6.043165
-9.0000,1.8450,-2.8340,-10.4170,2.039582e-02,-1.6905,0,0,6.120995
-9.0000,1.8450,-2.4650,-10.2325,2.101276e-02,-1.6775,0,0,6.141501
-9.0000,1.8450,-2.0960,-10.0480,2.070365e-02,-1.6840,0,0,6.087884
-9.0000,1.8450,-1.7270,-9.8635,2.075481e-02,-1.6829,0,0,6.036145
-9.0000,1.8450,-1.3580,-9.6790,2.090863e-02,-1.6797,0,0,6.047093
-9.0000,1.8450,-0.9890,-9.4945,2.102102e-02,-1.6773,0,0,6.232031
-9.0000,1.8450,-0.6200,-9.3100,9.284089e-02,-1.0323,0,0,6.359942
-9.0000,1.8450,-0.2510,-9.1255,4.466181e-02,-1.3501,0,0,6.116737
-9.0000,1.8450,0.1180,-8.9410,3.041735e-02,-1.5169,0,0,6.326603
-9.0000,1.8450,0.4870,-8.7565,2.094264e-02,-1.6790,0,0,5.991193
-9.0000,1.8450,0.8560,-8.5720,2.105838e-02,-1.6766,0,0,6.005379
-9.0000,1.8450,1.2250,-8.3875,2.104313e-02,-1.6769,0,0,6.260323
-9.0000,1.8450,1.5940,-8.2030,2.061642e-02,-1.6858,0,0,6.174719
-9.0000,1.8450,1.9630,-8.0185,2.097860e-02,-1.6782,0,0,6.042134
-9.0000,1.8450,2.3320,-7.8340,2.070695e-02,-1.6839,0,0,6.092155
-9.0000,1.8450,2.7010,-7.6495,2.055746e-02,-1.6870,0,0,6.178773
-9.0000,1.8450,3.0700,-7.4650,2.089624e-02,-1.6799,0,0,5.955970
-9.0000,1.8450,3.4390,-7.2805,2.041366e-02,-1.6901,0,0,6.113694
-9.0000,1.8450,3.8080,-7.0960,2.099000e-02,-1.6780,0,0,6.151547
-9.0000,1.8450,4.1770,-6.9115,2.040101e-02,-1.6903,0,0,5.968794
-9.0000,1.8450,4.5460,-6.7270,2.064553e-02,-1.6852,0,0,6.047329
-9.0000,1.8450,4.9150,-6.5425,2.076148e-02,-1.6827,0,0,6.162669
-9.0000,1.8450,5.2840,-6.3580,2.030379e-02,-1.6924,0,0,6.032019
-9.0000,1.8450,5.6530,-6.1735,2.102792e-02,-1.6772,0,0,5.972424
-9.0000,1.8450,6.0220,-5.9890,2.032968e-02,-1.6919,0,0,6.112980
-9.0000,1.8450,6.3910,-5.8045,2.071463e-02,-1.6837,0,0,6.126059
-9.0000,1.8450,6.7600,-5.6200,2.054617e-02,-1.6873,0,0,5.972062
-9.0000,1.8450,7.1290,-5.4355,2.039150e-02,-1.6906,0,0,6.009631
-9.0000,1.8450,7.4980,-5.2510,2.099262e-02,-1.6779,0,0,6.145564
-9.0000,1.8450,7.8670,-5.0665,2.024299e-02,-1.6937,0,0,6.077965
-9.0000,2.2140,-8.0000,-13.0000,2.047939e-02,-1.6887,0,0,6.030153
-9.0000,2.2140,-7.6310,-12.8155,2.078133e-02,-1.6823,0,0,6.036943
-9.0000,2.2140,-7.2620,-12.6310,2.029575e-02,-1.6926,0,0,6.068476
-9.0000,2.2140,-6.8930,-12.4465,2.101304e-02,-1.6775,0,0,6.058433
-9.0000,2.2140,-6.5240,-12.2620,2.030497e-02,-1.6924,0,0,6.023110
-9.0000,2.2140,-6.1550,-12.0775,2.067368e-02,-1.6846,0,0,6.041110
-9.0000,2.2140,-5.7860,-11.8930,2.067797e-02,-1.6845,0,0,6.081769
-9.0000,2.2140,-5.4170,-11.7085,2.033577e-02,-1.6917,0,0,6.061624
-9.0000,2.2140,-5.0480,-11.5240,2.102288e-02,-1.6773,0,0,6.014584
-9.0000,2.2140,-4.6790,-11.3395,2.035393e-02,-1.6914,0,0,6.041997
-9.0000,2.2140,-4.3100,-11.1550,2.081990e-02,-1.6815,0,0,6.101555
-9.0000,2.2140,-3.9410,-10.9705,2.052469e-02,-1.6877,0,0,6.087208
-9.0000,2.2140,-3.5720,-10.7860,2.053248e-02,-1.6876,0,0,6.013159
-9.0000,2.2140,-3.2030,-10.6015,2.096297e-02,-1.6785,0,0,6.010969
-9.0000,2.2140,-2.8340,-10.4170,2.039580e-02,-1.6905,0,0,6.087094
-9.0000,2.2140,-2.4650,-10.2325,2.101276e-02,-1.6775,0,0,6.165267
-9.0000,2.2140,-2.0960,-10.0480,2.070366e-02,-1.6840,0,0,6.211484
-9.0000,2.2140,-1.7270,-9.8635,2.075481e-02,-1.6829,0,0,6.255647
-9.0000,2.2140,-1.3580,-9.6790,2.090863e-02,-1.6797,0,0,6.265582
-9.0000,2.2140,-0.9890,-9.4945,2.102102e-02,-1.6773,0,0,6.013952
-9.0000,2.2140,-0.6200,-9.3100,2.099876e-02,-1.6778,0,0,6.517457
-9.0000,2.2140,-0.2510,-9.1255,2.095374e-02,-1.6787,0,0,6.056751
-9.0000,2.2140,0.1180,-8.9410,2.099012e-02,-1.6780,0,0,6.058156
-9.0000,2.2140,0.4870,-8.7565,2.094264e-02,-1.6790,0,0,6.057136
-9.0000,2.2140,0.8560,-8.5720,2.105838e-02,-1.6766,0,0,6.043467
-9.0000,2.2140,1.2250,-8.3875,2.104313e-02,-1.6769,0,0,6.022662
-9.0000,2.2140,1.5940,-8.2030,2.061642e-02,-1.6858,0,0,5.996387
-9.0000,2.2140,1.9630,-8.0185,2.097859e-02,-1.6782,0,0,6.316489
-9.0000,2.2140,2.3320,-7.8340,2.070695e-02,-1.6839,0,0,5.946378
-9.0000,2.2140,2.7010,-7.6495,2.055746e-02,-1.6870,0,0,6.238851
-9.0000,2.2140,3.0700,-7.4650,2.089619e-02,-1.6799,0,0,6.023017
-9.0000,2.2140,3.4390,-7.2805,2.041366e-02,-1.6901,0,0,6.030833
-9.0000,2.2140,3.8080,-7.0960,2.099001e-02,-1.6780,0,0,6.211635
-9.0000,2.2140,4.1770,-6.9115,2.040105e-02,-1.6903,0,0,6.011194
-9.0000,2.2140,4.5460,-6.7270,2.064554e-02,-1.6852,0,0,5.996596
-9.0000,2.2140,4.9150,-6.5425,2.076137e-02,-1.6827,0,0,6.177005
-9.0000,2.2140,5.2840,-6.3580,2.030373e-02,-1.6924,0,0,6.085985
-9.0000,2.2140,5.6530,-6.1735,2.102773e-02,-1.6772,0,0,5.947348
-9.0000,2.2140,6.0220,-5.9890,2.032972e-02,-1.6919,0,0,6.094950
-9.0000,2.2140,6.3910,-5.8045,2.071433e-02,-1.6837,0,0,6.167444
-9.0000,2.2140,6.7600,-5.6200,2.054642e-02,-1.6873,0,0,5.984703
-9.0000,2.2140,7.1290,-5.4355,2.039144e-02,-1.6906,0,0,5.980310
-9.0000,2.2140,7.4980,-5.2510,2.099230e-02,-1.6779,0,0,6.153111
