F_AVG,DELTA1,DELTA2,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
20.0000,-7.5816,-12.7908,2.0920,8.162464e-04,-3.0882,0,0,0.000001
20.0000,-7.5816,-12.7908,2.3012,8.540551e-04,-3.0685,0,0,0.000001
20.0000,-7.5816,-12.7908,2.5104,8.958229e-04,-3.0478,0,0,0.000001
20.0000,-7.5816,-12.7908,2.7196,9.414866e-04,-3.0262,0,0,0.000001
20.0000,-7.5816,-12.7908,2.9288,9.912276e-04,-3.0038,0,0,0.000001
20.0000,-7.5816,-12.7908,3.1380,1.044958e-03,-2.9809,0,0,6.391536
20.0000,-7.5816,-12.7908,3.3472,1.103004e-03,-2.9574,0,0,6.110390
20.0000,-7.5816,-12.7908,3.5564,1.164960e-03,-2.9337,0,0,6.379305
20.0000,-7.5816,-12.7908,3.7656,1.231172e-03,-2.9097,0,0,6.314706
20.0000,-7.5816,-12.7908,3.9748,1.301676e-03,-2.8855,0,0,6.074762
20.0000,-7.5816,-12.7908,4.1840,1.376333e-03,-2.8613,0,0,6.064456
20.0000,-7.5816,-12.7908,4.3932,1.455136e-03,-2.8371,0,0,6.348493
20.0000,-7.5816,-12.7908,4.6024,1.538168e-03,-2.8130,0,0,0.000002
20.0000,-7.5816,-12.7908,4.8116,1.625457e-03,-2.7890,0,0,0.000001
20.0000,-7.5816,-12.7908,5.0208,1.716981e-03,-2.7652,0,0,0.000001
20.0000,-7.3724,-12.6862,0.0000,2.051336e-02,-1.6880,0,0,0.000001
20.0000,-7.3724,-12.6862,0.2092,4.219967e-04,-3.3747,0,0,0.000001
20.0000,-7.3724,-12.6862,0.4184,4.236402e-04,-3.3730,0,0,0.000001
20.0000,-7.3724,-12.6862,0.6276,4.384645e-04,-3.3581,0,0,0.000001
20.0000,-7.3724,-12.6862,0.8368,4.581786e-04,-3.3390,0,0,0.000001
20.0000,-7.3724,-12.6862,1.0460,4.806805e-04,-3.3181,0,0,0.000001
20.0000,-7.3724,-12.6862,1.2552,5.048594e-04,-3.2968,0,0,0.000001
20.0000,-7.3724,-12.6862,1.4644,5.315385e-04,-3.2745,0,0,0.000001
20.0000,-7.3724,-12.6862,1.6736,5.617906e-04,-3.2504,0,0,0.000001
20.0000,-7.3724,-12.6862,1.8828,5.950478e-04,-3.2254,0,0,0.000001
20.0000,-7.3724,-12.6862,2.0920,6.313271e-04,-3.1997,0,0,0.000001
20.0000,-7.3724,-12.6862,2.3012,6.708109e-04,-3.1734,0,0,0.000001
20.0000,-7.3724,-12.6862,2.5104,7.138563e-04,-3.1464,0,0,0.000001
20.0000,-7.3724,-12.6862,2.7196,7.603247e-04,-3.1190,0,0,0.000001
20.0000,-7.3724,-12.6862,2.9288,8.105042e-04,-3.0912,0,0,0.000001
20.0000,-7.3724,-12.6862,3.1380,8.643956e-04,-3.0633,0,0,0.000001
20.0000,-7.3724,-12.6862,3.3472,9.220560e-04,-3.0352,0,0,0.000001
20.0000,-7.3724,-12.6862,3.5564,9.836093e-04,-3.0072,0,0,0.000001
20.0000,-7.3724,-12.6862,3.7656,1.049237e-03,-2.9791,0,0,0.000001
20.0000,-7.3724,-12.6862,3.9748,1.118754e-03,-2.9513,0,0,0.000001
20.0000,-7.3724,-12.6862,4.1840,1.192461e-03,-2.9236,0,0,6.278044
20.0000,-7.3724,-12.6862,4.3932,1.270119e-03,-2.8962,0,0,6.372691
20.0000,-7.3724,-12.6862,4.6024,1.351836e-03,-2.8691,0,0,6.420239
20.0000,-7.3724,-12.6862,4.8116,1.437818e-03,-2.8423,0,0,6.187643
20.0000,-7.3724,-12.6862,5.0208,1.527953e-03,-2.8159,0,0,6.193362
20.0000,-7.1632,-12.5816,0.0000,2.033061e-02,-1.6918,0,0,0.000001
20.0000,-7.1632,-12.5816,0.2092,3.329879e-04,-3.4776,0,0,0.000001
20.0000,-7.1632,-12.5816,0.4184,3.431810e-04,-3.4645,0,0,0.000001
20.0000,-7.1632,-12.5816,0.6276,3.605843e-04,-3.4430,0,0,0.000001
20.0000,-7.1632,-12.5816,0.8368,3.784852e-04,-3.4220,0,0,0.000001
20.0000,-7.1632,-12.5816,1.0460,3.996497e-04,-3.3983,0,0,0.000001
20.0000,-7.1632,-12.5816,1.2552,4.253408e-04,-3.3713,0,0,0.000001
20.0000,-7.1632,-12.5816,1.4644,4.517761e-04,-3.3451,0,0,0.000001
20.0000,-7.1632,-12.5816,1.6736,4.824777e-04,-3.3165,0,0,0.000001
20.0000,-7.1632,-12.5816,1.8828,5.155149e-04,-3.2878,0,0,0.000001
20.0000,-7.1632,-12.5816,2.0920,5.518967e-04,-3.2581,0,0,0.000001
20.0000,-7.1632,-12.5816,2.3012,5.915556e-04,-3.2280,0,0,0.000001
20.0000,-7.1632,-12.5816,2.5104,6.344897e-04,-3.1976,0,0,0.000001
20.0000,-7.1632,-12.5816,2.7196,6.808806e-04,-3.1669,0,0,0.000001
20.0000,-7.1632,-12.5816,2.9288,7.307653e-04,-3.1362,0,0,0.000001
20.0000,-7.1632,-12.5816,3.1380,7.844084e-04,-3.1055,0,0,0.000001
20.0000,-7.1632,-12.5816,3.3472,8.418090e-04,-3.0748,0,0,0.000001
20.0000,-7.1632,-12.5816,3.5564,9.030718e-04,-3.0443,0,0,0.000001
20.0000,-7.1632,-12.5816,3.7656,9.683256e-04,-3.0140,0,0,0.000001
20.0000,-7.1632,-12.5816,3.9748,1.037470e-03,-2.9840,0,0,0.000001
20.0000,-7.1632,-12.5816,4.1840,1.110734e-03,-2.9544,0,0,0.000001
20.0000,-7.1632,-12.5816,4.3932,1.187946e-03,-2.9252,0,0,0.000001
20.0000,-7.1632,-12.5816,4.6024,1.269398e-03,-2.8964,0,0,0.000001
20.0000,-7.1632,-12.5816,4.8116,1.354745e-03,-2.8681,0,0,0.000001
20.0000,-7.1632,-12.5816,5.0208,1.444389e-03,-2.8403,0,0,0.000001
20.0000,-6.9540,-12.4770,0.0000,2.098194e-02,-1.6782,0,0,0.000001
20.0000,-6.9540,-12.4770,0.2092,6.651198e-04,-3.1771,0,0,0.000001
20.0000,-6.9540,-12.4770,0.4184,6.247340e-04,-3.2043,0,0,0.000001
20.0000,-6.9540,-12.4770,0.6276,6.429319e-04,-3.1918,0,0,0.000001
20.0000,-6.9540,-12.4770,0.8368,6.601554e-04,-3.1804,0,0,0.000001
20.0000,-6.9540,-12.4770,1.0460,6.811083e-04,-3.1668,0,0,0.000001
20.0000,-6.9540,-12.4770,1.2552,7.037348e-04,-3.1526,0,0,0.000001
20.0000,-6.9540,-12.4770,1.4644,7.310750e-04,-3.1360,0,0,0.000001
