f_avg,delta1,log10_nmse
44.1423,-8.0000,-1.748272
43.5146,-8.0000,-1.745412
43.0962,-8.0000,-1.748372
42.4686,-8.0000,-1.748278
42.2594,-8.0000,-1.748073
43.3054,-8.0000,-1.740708
42.6778,-8.0000,-1.748608
42.8870,-8.0000,-1.748035
45.1883,-8.0000,-1.747980
44.3515,-8.0000,-1.748680
0.0000,-7.7895,-0.031508
0.2092,-7.7895,-1.585376
0.4184,-7.7895,-1.726664
0.8368,-7.7895,-2.805392
1.6736,-7.7895,-2.608788
4.3933,-7.7895,-2.699091
0.6276,-7.7895,-1.768324
3.1381,-7.7895,-2.443383
1.4644,-7.7895,-2.828402
5.6485,-7.7895,-2.722821
1.2552,-7.7895,-2.773982
24.6862,-7.7895,-2.662916
3.7657,-7.7895,-2.771900
3.9749,-7.7895,-2.658397
2.5105,-7.7895,-2.694172
2.3013,-7.7895,-2.826549
25.5230,-7.7895,-2.630497
5.0209,-7.7895,-2.523455
24.8954,-7.7895,-2.655118
7.3222,-7.7895,-2.682330
2.0921,-7.7895,-2.841676
3.3473,-7.7895,-2.435329
18.4100,-7.7895,-2.660373
6.6946,-7.7895,-2.729335
23.6402,-7.7895,-2.658908
19.8745,-7.7895,-2.617066
4.1841,-7.7895,-2.772922
7.9498,-7.7895,-2.741559
12.5523,-7.7895,-2.765802
24.4770,-7.7895,-2.647018
3.5565,-7.7895,-2.610869
9.4142,-7.7895,-2.779330
16.7364,-7.7895,-2.707431
25.3138,-7.7895,-2.627523
23.8494,-7.7895,-2.576875
1.8828,-7.7895,-2.858488
12.1339,-7.7895,-2.755332
11.5063,-7.7895,-2.772519
24.0586,-7.7895,-2.645952
19.0377,-7.7895,-2.616357
21.3389,-7.7895,-2.656086
26.7782,-7.7895,-2.569333
26.1506,-7.7895,-2.653926
21.1297,-7.7895,-2.581950
1.0460,-7.7895,-2.826624
27.1967,-7.7895,-2.595452
20.2929,-7.7895,-2.626788
23.4310,-7.7895,-2.655156
26.5690,-7.7895,-2.548196
2.9289,-7.7895,-2.200385
24.2678,-7.7895,-2.620572
22.8033,-7.7895,-2.616938
