f_avg,delta1,log10_nmse
0.0000,-8.0000,-0.157016
0.2092,-8.0000,-0.646245
0.4184,-8.0000,-0.589738
36.4017,-8.0000,-1.747879
33.4728,-8.0000,-1.747776
35.7741,-8.0000,-1.747752
35.3556,-8.0000,-1.747741
36.1925,-8.0000,-1.747918
35.5649,-8.0000,-1.748002
35.9833,-8.0000,-1.747785
0.6276,-8.0000,-0.251092
36.6109,-8.0000,-1.747949
34.3096,-8.0000,-1.747840
34.5188,-8.0000,-1.747771
34.1004,-8.0000,-1.747924
34.9372,-8.0000,-1.747886
33.8912,-8.0000,-1.748150
35.1464,-8.0000,-1.747948
33.2636,-8.0000,-1.747825
34.7280,-8.0000,-1.747704
33.6820,-8.0000,-1.747865
30.7531,-8.0000,-1.632905
29.7071,-8.0000,-1.879857
31.3808,-8.0000,-1.621657
28.2427,-8.0000,-2.174865
32.0084,-8.0000,-1.625363
29.2887,-8.0000,-2.003451
1.4644,-8.0000,-0.370615
27.8243,-8.0000,-2.221196
31.1715,-8.0000,-1.665204
31.7992,-8.0000,-1.527758
30.3347,-8.0000,-1.715743
1.2552,-8.0000,-0.322118
28.8703,-8.0000,-2.102816
33.0544,-8.0000,-1.746922
29.0795,-8.0000,-1.990438
32.4268,-8.0000,-1.670981
29.9163,-8.0000,-1.830810
25.7322,-8.0000,-2.580613
32.8452,-8.0000,-1.752103
28.0335,-8.0000,-2.167959
27.4059,-8.0000,-2.322389
21.9665,-8.0000,-2.752280
25.5230,-8.0000,-2.568189
31.5900,-8.0000,-1.625248
27.1967,-8.0000,-2.352483
30.9623,-8.0000,-1.609742
26.3598,-8.0000,-2.449458
25.1046,-8.0000,-2.084266
2.9289,-8.0000,-0.746858
29.4979,-8.0000,-1.910877
2.0921,-8.0000,-0.146182
28.4519,-8.0000,-2.157206
30.5439,-8.0000,-1.734869
28.6611,-8.0000,-2.107986
27.6151,-8.0000,-2.195839
32.6360,-8.0000,-1.708689
15.0628,-8.0000,-2.542135
23.8494,-8.0000,-2.479268
24.8954,-8.0000,-2.182341
20.2929,-8.0000,-2.780274
20.0837,-8.0000,-2.980348
24.0586,-8.0000,-2.242061
26.5690,-8.0000,-2.411944
25.3138,-8.0000,-2.323261
24.6862,-8.0000,-2.685869
23.6402,-8.0000,-2.662584
25.9414,-8.0000,-2.614264
26.7782,-8.0000,-2.357412
23.0126,-8.0000,-2.443841
26.9874,-8.0000,-2.332185
1.0460,-8.0000,-0.217695
21.5481,-8.0000,-2.659279
4.8117,-8.0000,-1.628775
10.4603,-8.0000,-2.277717
7.7406,-8.0000,-1.962738
17.3640,-8.0000,-2.965002
5.6485,-8.0000,-2.016264
21.7573,-8.0000,-2.831667
7.5314,-8.0000,-2.703757
22.3849,-8.0000,-2.601608
1.6736,-8.0000,-0.414214
2.3013,-8.0000,-0.543419
6.0669,-8.0000,-2.849938
17.7824,-8.0000,-3.003726
26.1506,-8.0000,-2.477603
3.7657,-8.0000,-1.129726
21.1297,-8.0000,-2.968813
3.5565,-8.0000,-1.460301
17.5732,-8.0000,-2.779469
30.1255,-8.0000,-1.766595
15.4812,-8.0000,-2.927130
7.9498,-8.0000,-2.503586
32.2176,-8.0000,-1.600944
23.4310,-8.0000,-2.614985
19.0377,-8.0000,-2.950013
19.8745,-8.0000,-2.738025
21.3389,-8.0000,-2.803963
10.8787,-8.0000,-1.964870
13.1799,-8.0000,-2.702182
2.5105,-8.0000,-0.703401
14.8536,-8.0000,-2.963877
18.4100,-8.0000,-2.831057
22.1757,-8.0000,-2.748121
18.6192,-8.0000,-2.585417
19.6653,-8.0000,-2.867284
15.8996,-8.0000,-3.022395
6.2762,-8.0000,-2.942670
5.2301,-8.0000,-1.994476
16.5272,-8.0000,-2.845891
2.7197,-8.0000,-0.941279
16.3180,-8.0000,-2.793453
12.1339,-8.0000,-2.770744
