F_AVG,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.6276,1.6736,1.168510e-01,-0.9324,0,0,6.120099
0.6276,1.8828,9.926418e-02,-1.0032,0,0,6.121142
0.6276,2.0920,1.340557e-01,-0.8727,0,0,6.120591
0.6276,2.3012,2.784672e-01,-0.5552,0,0,6.118218
0.6276,2.5104,7.270813e-01,-0.1384,0,0,6.113821
0.6276,2.7196,3.564569e-01,-0.4480,0,0,6.107235
0.6276,2.9288,4.349345e-01,-0.3616,0,0,6.098347
0.6276,3.1380,5.667871e-01,-0.2466,0,0,6.087111
0.6276,3.3472,4.889634e-01,-0.3107,0,0,6.073566
0.6276,3.5564,5.063001e-01,-0.2956,0,0,6.057848
0.6276,3.7656,9.016828e-01,-0.0449,0,0,6.045521
0.6276,3.9748,7.677746e-01,-0.1148,0,0,6.045521
0.6276,4.1840,1.448961e+00,0.1611,0,0,6.045521
0.6276,4.3932,1.598008e+00,0.2036,0,0,6.045521
0.6276,4.6024,6.344301e-01,-0.1976,0,0,6.045521
0.6276,4.8116,6.590984e-01,-0.1810,0,0,6.045521
0.6276,5.0208,6.748840e-01,-0.1708,0,0,6.045521
0.8368,0.0000,2.102858e-02,-1.6772,0,0,6.093353
0.8368,0.2092,1.750014e-03,-2.7570,0,0,6.099220
0.8368,0.4184,5.208650e-03,-2.2833,0,0,6.104764
0.8368,0.6276,1.139850e-02,-1.9432,0,0,6.109833
0.8368,0.8368,2.102858e-02,-1.6772,0,0,6.114216
0.8368,1.0460,3.536589e-02,-1.4514,0,0,6.117702
0.8368,1.2552,5.561837e-02,-1.2548,0,0,6.120099
0.8368,1.4644,8.160791e-02,-1.0883,0,0,6.121142
0.8368,1.6736,1.324372e-01,-0.8780,0,0,6.120591
0.8368,1.8828,4.023276e-01,-0.3954,0,0,6.118218
0.8368,2.0920,5.641439e-01,-0.2486,0,0,6.113821
0.8368,2.3012,1.404644e-01,-0.8524,0,0,6.107235
0.8368,2.5104,9.926396e-02,-1.0032,0,0,6.098347
0.8368,2.7196,9.731073e-02,-1.0118,0,0,6.087111
0.8368,2.9288,5.249695e-01,-0.2799,0,0,6.073566
0.8368,3.1380,2.029072e-01,-0.6927,0,0,6.057848
0.8368,3.3472,7.270719e-01,-0.1384,0,0,6.045521
0.8368,3.5564,2.941164e-01,-0.5315,0,0,6.045521
0.8368,3.7656,4.893784e-01,-0.3104,0,0,6.045521
0.8368,3.9748,1.076495e+00,0.0320,0,0,6.045521
0.8368,4.1840,5.667855e-01,-0.2466,0,0,6.045521
0.8368,4.3932,4.441186e-01,-0.3525,0,0,6.045521
0.8368,4.6024,5.303655e-01,-0.2754,0,0,6.045521
0.8368,4.8116,5.006856e-01,-0.3004,0,0,6.045521
0.8368,5.0208,9.016822e-01,-0.0449,0,0,6.045521
1.0460,0.0000,2.102850e-02,-1.6772,0,0,6.104764
1.0460,0.2092,1.353932e-03,-2.8684,0,0,6.109833
1.0460,0.4184,3.522109e-03,-2.4532,0,0,6.114216
1.0460,0.6276,7.327929e-03,-2.1350,0,0,6.117702
1.0460,0.8368,1.301805e-02,-1.8855,0,0,6.120099
1.0460,1.0460,2.102850e-02,-1.6772,0,0,6.121142
1.0460,1.2552,3.204469e-02,-1.4942,0,0,6.120591
1.0460,1.4644,4.681333e-02,-1.3296,0,0,6.118218
1.0460,1.6736,6.528180e-02,-1.1852,0,0,6.113821
1.0460,1.8828,8.773307e-02,-1.0568,0,0,6.107235
1.0460,2.0920,1.324375e-01,-0.8780,0,0,6.098347
1.0460,2.3012,2.459035e-01,-0.6092,0,0,6.087111
1.0460,2.5104,1.376020e-01,-0.8614,0,0,6.073566
1.0460,2.7196,1.341146e+00,0.1275,0,0,6.057848
1.0460,2.9288,7.985561e-02,-1.0977,0,0,6.045521
1.0460,3.1380,9.926400e-02,-1.0032,0,0,6.045521
1.0460,3.3472,9.983220e-02,-1.0007,0,0,6.045521
1.0460,3.5564,1.222908e-01,-0.9126,0,0,6.045521
1.0460,3.7656,2.562465e-01,-0.5913,0,0,6.045521
1.0460,3.9748,4.943687e-01,-0.3059,0,0,6.045521
1.0460,4.1840,7.270671e-01,-0.1384,0,0,6.045521
1.0460,4.3932,3.345845e-01,-0.4755,0,0,6.045521
1.0460,4.6024,4.210728e-01,-0.3756,0,0,6.045521
1.0460,4.8116,4.067377e-01,-0.3907,0,0,6.045521
1.0460,5.0208,7.867362e-01,-0.1042,0,0,6.045521
1.2552,0.0000,2.102853e-02,-1.6772,0,0,6.114216
1.2552,0.2092,1.142816e-03,-2.9420,0,0,6.117702
1.2552,0.4184,2.625106e-03,-2.5809,0,0,6.120099
1.2552,0.6276,5.208590e-03,-2.2833,0,0,6.121142
1.2552,0.8368,8.998056e-03,-2.0459,0,0,6.120591
1.2552,1.0460,1.417654e-02,-1.8484,0,0,6.118218
1.2552,1.2552,2.102853e-02,-1.6772,0,0,6.113821
1.2552,1.4644,2.996408e-02,-1.5234,0,0,6.107235
1.2552,1.6736,4.145220e-02,-1.3825,0,0,6.098347
1.2552,1.8828,5.561841e-02,-1.2548,0,0,6.087111
1.2552,2.0920,7.224053e-02,-1.1412,0,0,6.073566
1.2552,2.3012,9.237941e-02,-1.0344,0,0,6.057848
1.2552,2.5104,1.324377e-01,-0.8780,0,0,6.045521
1.2552,2.7196,6.506980e-01,-0.1866,0,0,6.045521
1.2552,2.9288,1.994037e-01,-0.7003,0,0,6.045521
1.2552,3.1380,5.641442e-01,-0.2486,0,0,6.045521
1.2552,3.3472,1.168514e-01,-0.9324,0,0,6.045521
