F_AVG,DELTA1,log10_NMSE
36.7347,-6.7692,-3.312547
35.7143,-6.7692,-3.299491
33.6735,-6.7692,-3.271027
37.7551,-6.7692,-3.324725
28.5714,-6.7692,-3.183408
34.6939,-6.7692,-3.285680
30.6122,-6.7692,-3.221693
32.6531,-6.7692,-3.255575
27.5510,-6.7692,-3.162379
25.5102,-6.7692,-3.116124
31.6327,-6.7692,-3.239160
38.7755,-7.1795,-3.408418
24.4898,-6.7692,-3.090618
29.5918,-6.7692,-3.203145
36.7347,-7.1795,-3.381158
28.5714,-7.1795,-3.236680
26.5306,-6.7692,-3.140013
31.6327,-7.1795,-3.298667
30.6122,-7.1795,-3.279192
35.7143,-7.1795,-3.366438
34.6939,-7.1795,-3.350818
18.3673,-6.7692,-2.894191
32.6531,-7.1795,-3.316940
21.4286,-6.7692,-3.002879
27.5510,-7.1795,-3.213517
22.4490,-6.7692,-3.034237
19.3878,-6.7692,-2.933126
37.7551,-7.1795,-3.395018
39.7959,-7.5897,-3.131741
24.4898,-7.1795,-3.134978
40.8163,-7.5897,-3.138043
29.5918,-7.1795,-3.258552
37.7551,-7.5897,-3.117741
33.6735,-7.1795,-3.334351
35.7143,-7.5897,-3.101853
43.8776,-7.5897,-3.154873
25.5102,-7.1795,-3.162774
32.6531,-7.5897,-3.073385
17.3469,-6.7692,-2.852073
42.8571,-8.0000,-3.418430
44.8980,-8.0000,-3.437275
20.4082,-6.7692,-2.969333
26.5306,-7.1795,-3.188857
36.7347,-7.5897,-3.110063
21.4286,-7.1795,-3.040094
43.8776,-8.0000,-3.428046
23.4694,-6.7692,-3.063436
16.3265,-6.7692,-2.806415
15.3061,-6.7692,-2.756761
34.6939,-7.5897,-3.093053
22.4490,-7.1795,-3.073796
26.5306,-7.5897,-2.993394
38.7755,-7.5897,-3.124957
28.5714,-7.5897,-3.024176
31.6327,-7.5897,-3.062352
12.2449,-6.7692,-2.578041
19.3878,-7.1795,-2.965495
23.4694,-7.1795,-3.105350
14.2857,-6.7692,-2.702643
33.6735,-7.5897,-3.083552
36.7347,-8.0000,-3.348183
30.6122,-7.5897,-3.050639
27.5510,-7.5897,-3.009402
41.8367,-8.0000,-3.408132
38.7755,-8.0000,-3.374098
13.2653,-6.7692,-2.643325
32.6531,-8.0000,-3.287027
29.5918,-7.5897,-3.037894
33.6735,-8.0000,-3.303643
16.3265,-7.1795,-2.831498
39.7959,-8.0000,-3.386040
35.7143,-8.0000,-3.334141
25.5102,-7.5897,-2.976087
17.3469,-7.1795,-2.879542
20.4082,-7.1795,-3.004054
31.6327,-8.0000,-3.269422
