F_AVG,DELTA1,log10_NMSE
1.6736,-8.0000,-0.380066
2.7197,-8.0000,-0.719909
1.0460,-8.0000,-0.193391
0.2092,-8.0000,-0.049214
41.2134,-8.0000,-2.993177
2.0921,-8.0000,-0.516428
41.4226,-8.0000,-2.996807
40.5858,-8.0000,-2.982127
43.3054,-8.0000,-3.028438
42.6778,-8.0000,-3.018119
46.6527,-8.0000,-3.079920
41.8410,-8.0000,-3.004020
41.0042,-8.0000,-2.989515
41.6318,-8.0000,-3.000421
40.7950,-8.0000,-2.985833
42.4686,-8.0000,-3.014629
42.8870,-8.0000,-3.021588
42.0502,-8.0000,-3.007577
40.3766,-8.0000,-2.978376
43.5146,-8.0000,-3.031824
5.2301,-7.7895,-1.299320
40.1674,-8.0000,-2.974602
44.1423,-8.0000,-3.041825
5.8577,-7.7895,-1.297390
42.2594,-8.0000,-3.011111
43.0962,-8.0000,-3.025027
19.8745,-7.7895,-2.414921
43.7238,-8.0000,-3.035187
20.0837,-7.7895,-2.424142
20.7113,-7.7895,-2.451158
5.4393,-7.7895,-1.287825
20.9205,-7.7895,-2.459950
10.4603,-7.7895,-1.817456
17.7824,-7.7895,-2.316088
14.8536,-7.7895,-2.152493
11.9247,-7.7895,-1.945616
17.1548,-7.7895,-2.283795
15.0628,-7.7895,-2.165381
10.6695,-7.7895,-1.837083
45.6067,-8.0000,-3.064436
16.1088,-7.7895,-2.226827
21.7573,-7.7895,-2.494139
1.6736,-7.7895,-0.361722
19.6653,-7.7895,-2.405589
18.8285,-7.7895,-2.367087
14.2259,-7.7895,-2.112515
14.6444,-7.7895,-2.139392
20.5021,-7.7895,-2.442260
8.3682,-7.7895,-1.590695
7.5314,-7.7895,-1.483292
9.8326,-7.7895,-1.755538
15.2720,-7.7895,-2.178063
21.9665,-7.7895,-2.502451
15.6904,-7.7895,-2.202825
8.7866,-7.7895,-1.640910
17.3640,-7.7895,-2.294705
15.4812,-7.7895,-2.190545
14.0167,-7.7895,-2.098723
10.0418,-7.7895,-1.776708
18.4100,-7.7895,-2.347085
16.9456,-7.7895,-2.272729
4.6025,-7.7895,-0.945546
21.1297,-7.7895,-2.468646
20.2929,-7.7895,-2.433255
12.9707,-7.7895,-2.025885
23.2218,-7.7895,-2.550477
22.1757,-7.7895,-2.510671
21.5481,-7.7895,-2.485734
26.9874,-7.7895,-2.678180
13.3891,-7.7895,-2.055830
25.3138,-7.7895,-2.624185
7.7406,-7.7895,-1.510881
28.4519,-7.7895,-2.722300
8.5774,-7.7895,-1.616119
7.1130,-7.7895,-1.427414
10.8787,-7.7895,-1.856235
11.5063,-7.7895,-1.911067
24.4770,-7.7895,-2.595581
17.5732,-7.7895,-2.305473
6.4854,-7.7895,-1.347170
12.3431,-7.7895,-1.978707
22.5941,-7.7895,-2.526850
12.5523,-7.7895,-1.994751
8.9958,-7.7895,-1.665065
0.8368,-7.7895,-0.159638
28.2427,-7.7895,-2.716164
23.0126,-7.7895,-2.542685
25.1046,-7.7895,-2.617137
16.5272,-7.7895,-2.250113
14.4351,-7.7895,-2.126070
7.3222,-7.7895,-1.455401
17.9916,-7.7895,-2.326558
11.7155,-7.7895,-1.928531
13.8075,-7.7895,-2.084681
6.2762,-7.7895,-1.324625
26.5690,-7.7895,-2.665064
11.2971,-7.7895,-1.893209
26.1506,-7.7895,-2.651696
8.1590,-7.7895,-1.564655
4.8117,-7.7895,-0.497643
22.3849,-7.7895,-2.518807
19.2469,-7.7895,-2.386578
6.0669,-7.7895,-1.307128
25.9414,-7.7895,-2.644915
25.5230,-7.7895,-2.631160
12.1339,-7.7895,-1.962336
21.3389,-7.7895,-2.477242
13.5983,-7.7895,-2.070388
23.8494,-7.7895,-2.573371
12.7615,-7.7895,-2.010471
19.4561,-7.7895,-2.396141
24.0586,-7.7895,-2.580848
23.6402,-7.7895,-2.565818
5.0209,-7.7895,-0.666780
24.6862,-7.7895,-2.602839
27.6151,-7.7895,-2.697433
6.9038,-7.7895,-1.399654
18.6192,-7.7895,-2.357151
18.2008,-7.7895,-2.336889
7.9498,-7.7895,-1.538031
11.0879,-7.7895,-1.874936
26.3598,-7.7895,-2.658411
13.1799,-7.7895,-2.041001
16.7364,-7.7895,-2.261503
3.7657,-7.7895,-0.875142
16.3180,-7.7895,-2.238557
26.7782,-7.7895,-2.671659
10.2510,-7.7895,-1.797338
29.7071,-7.7895,-2.758018
29.2887,-7.7895,-2.746323
28.6611,-7.7895,-2.728382
23.4310,-7.7895,-2.558187
2.5105,-7.7895,-0.614132
29.0795,-7.7895,-2.740396
19.0377,-7.7895,-2.376895
15.8996,-7.7895,-2.214915
22.8033,-7.7895,-2.534810
2.3013,-7.7895,-0.612833
24.8954,-7.7895,-2.610023
9.2050,-7.7895,-1.688591
31.1715,-7.7895,-2.797463
25.7322,-7.7895,-2.638069
5.6485,-7.7895,-1.295366
24.2678,-7.7895,-2.588250
2.7197,-7.7895,-0.668963
