F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.0000,6.6440,-5.6780,9.689532e-01,-0.0137,0,0,6.043553
0.0000,6.8532,-5.5734,1.003187e+00,0.0014,0,0,6.043255
0.0000,7.0624,-5.4688,1.003825e+00,0.0017,0,0,6.043000
0.0000,7.2716,-5.3642,9.030766e-01,-0.0443,0,0,6.042794
0.0000,7.4808,-5.2596,1.002509e+00,0.0011,0,0,6.042628
0.0000,7.6900,-5.1550,1.036933e+00,0.0158,0,0,6.042495
0.0000,7.8992,-5.0504,1.004683e+00,0.0020,0,0,6.042394
0.2092,-8.0000,-13.0000,2.047967e-02,-1.6887,0,0,6.042594
0.2092,-7.7908,-12.8954,2.027809e-02,-1.6930,0,0,6.046343
0.2092,-7.5816,-12.7908,2.097431e-02,-1.6783,0,0,6.043018
0.2092,-7.3724,-12.6862,2.051293e-02,-1.6880,0,0,6.045116
0.2092,-7.1632,-12.5816,2.033011e-02,-1.6919,0,0,6.045146
0.2092,-6.9540,-12.4770,2.098303e-02,-1.6781,0,0,6.042931
0.2092,-6.7448,-12.3724,2.049322e-02,-1.6884,0,0,6.047000
0.2092,-6.5356,-12.2678,2.028883e-02,-1.6927,0,0,6.042188
0.2092,-6.3264,-12.1632,2.097104e-02,-1.6784,0,0,6.046600
0.2092,-6.1172,-12.0586,2.053601e-02,-1.6875,0,0,6.044103
0.2092,-5.9080,-11.9540,2.034774e-02,-1.6915,0,0,6.043935
0.2092,-5.6988,-11.8494,2.098149e-02,-1.6782,0,0,6.047141
0.2092,-5.4896,-11.7448,2.051372e-02,-1.6880,0,0,6.041603
0.2092,-5.2804,-11.6402,2.030795e-02,-1.6923,0,0,6.048229
0.2092,-5.0712,-11.5356,2.096970e-02,-1.6784,0,0,6.042469
0.2092,-4.8620,-11.4310,2.056808e-02,-1.6868,0,0,6.045725
0.2092,-4.6528,-11.3264,2.038178e-02,-1.6908,0,0,6.046422
0.2092,-4.4436,-11.2218,2.098398e-02,-1.6781,0,0,6.041644
0.2092,-4.2344,-11.1172,2.054723e-02,-1.6872,0,0,6.049802
0.2092,-4.0252,-11.0126,2.034584e-02,-1.6915,0,0,6.040435
0.2092,-3.8160,-10.9080,2.096900e-02,-1.6784,0,0,6.048543
0.2092,-3.6068,-10.8034,2.062532e-02,-1.6856,0,0,6.044505
0.2092,-3.3976,-10.6988,2.045099e-02,-1.6893,0,0,6.042723
0.2092,-3.1884,-10.5942,2.099367e-02,-1.6779,0,0,6.050844
0.2092,-2.9792,-10.4896,2.061091e-02,-1.6859,0,0,6.038033
0.2092,-2.7700,-10.3850,2.043032e-02,-1.6897,0,0,6.052638
0.2092,-2.5608,-10.2804,2.097533e-02,-1.6783,0,0,6.040953
0.2092,-2.3516,-10.1758,2.074978e-02,-1.6830,0,0,6.045708
0.2092,-2.1424,-10.0712,2.063050e-02,-1.6855,0,0,6.051195
0.2092,-1.9332,-9.9666,2.101390e-02,-1.6775,0,0,6.035295
0.2092,-1.7240,-9.8620,2.074937e-02,-1.6830,0,0,6.059016
0.2092,-1.5148,-9.7574,2.065384e-02,-1.6850,0,0,6.034665
0.2092,-1.3056,-9.6528,2.098727e-02,-1.6780,0,0,6.051726
0.2092,-1.0964,-9.5482,2.102214e-02,-1.6773,0,0,6.051501
0.2092,-0.8872,-9.4436,4.338696e-02,-1.3626,0,0,6.030559
0.2092,-0.6780,-9.3390,2.141683e-02,-1.6692,0,0,6.071345
0.2092,-0.4688,-9.2344,2.526767e-02,-1.5974,0,0,6.025716
0.2092,-0.2596,-9.1298,4.777958e-02,-1.3208,0,0,6.057303
0.2092,-0.0504,-9.0252,3.875478e-02,-1.4117,0,0,6.060678
0.2092,0.1588,-8.9206,5.906853e-02,-1.2286,0,0,6.019766
0.2092,0.3680,-8.8160,6.855239e-02,-1.1640,0,0,6.077565
0.2092,0.5772,-8.7114,2.474720e-02,-1.6065,0,0,6.033302
0.2092,0.7864,-8.6068,2.106304e-02,-1.6765,0,0,6.043781
0.2092,0.9956,-8.5022,2.101976e-02,-1.6774,0,0,6.064893
0.2092,1.2048,-8.3976,2.104492e-02,-1.6769,0,0,6.024374
0.2092,1.4140,-8.2930,2.080633e-02,-1.6818,0,0,6.065539
0.2092,1.6232,-8.1884,2.062544e-02,-1.6856,0,0,6.037689
0.2092,1.8324,-8.0838,2.096293e-02,-1.6785,0,0,6.044574
0.2092,2.0416,-7.9792,2.081891e-02,-1.6815,0,0,6.057210
0.2092,2.2508,-7.8746,2.059560e-02,-1.6862,0,0,6.030731
0.2092,2.4600,-7.7700,2.100462e-02,-1.6777,0,0,6.061452
0.2092,2.6692,-7.6654,2.064475e-02,-1.6852,0,0,6.035798
